Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	61735	86341	15	-0.9196
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	98588	16965789	8739	0.0214
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	16968125	17005978	16	-0.4899
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	17011450	17277940	123	0.296
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	17282425	25583341	5269	0.0153
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	25593128	25646689	25	-1.6888
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	25646744	32894381	3600	0.0101
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	32896119	32905807	5	-0.9325
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	32914644	35091674	1368	0.0247
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	35102654	35104491	20	-0.5443
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	35114268	72768916	23860	0.0164
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	72768936	72797412	27	-1.1004
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	72798594	72808719	9	0.1367
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	72808751	72816755	12	-0.8009
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	72817021	104163499	20082	0.0109
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	104163787	104303403	27	-0.513
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	104303501	106013376	918	0.0375
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	106019205	106022344	15	0.6285
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	106022360	108929977	2023	0.0123
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	108935176	108986197	9	-0.7045
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	109013908	110227515	641	0.019
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	110232974	110246126	20	0.749
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	110246130	148513790	8302	0.0161
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	148513805	148870937	40	-0.3615
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	148893345	152555527	1677	0.0211
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	152555706	152586238	31	-1.8901
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	152586278	152759678	174	-0.0593
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	152761923	152768700	37	0.7739
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	152773905	161497320	5272	0.0172
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	161501857	161637868	49	0.3775
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	161637956	168985815	5822	0.0173
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	168986301	168987120	4	-1.7794
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	1	168987211	249224388	54430	0.0144
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	12784	4205687	2988	0.0137
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	4213864	4223167	36	-0.6817
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	4223512	52741737	34161	0.0203
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	52743925	52781542	41	0.6052
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	52787949	98025647	24080	0.0213
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	98063372	98161710	11	-0.8787
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	98162189	126442223	17099	0.0235
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	126451651	126451913	2	-2.3155
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	126451932	129638078	1945	0.0237
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	129638478	129646448	17	-0.5633
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	2	129646503	243089456	69650	0.0199
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	60345	4107699	3696	-0.0106
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	4108637	4108928	2	-1.6434
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	4110325	6646543	2143	0.0076
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	6651128	6653332	23	-0.7094
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	6655078	26611497	14192	0.0199
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	26611607	26611885	6	-2.0996
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	26611898	26614974	9	-0.0709
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	26614976	26615949	8	-1.3154
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	26615970	37977417	7605	0.0105
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	37982108	37986928	18	-3.5095
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	37987106	53023211	8076	0.0173
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	53028375	53039263	39	-0.4647
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	53039279	60775460	5785	0.0076
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	60777582	60781027	6	-0.971
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	60784223	68746164	6241	0.0129
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	68746259	68747413	14	-1.115
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	68748758	75568549	4938	0.0108
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	75572549	75586805	6	-2.2677
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	75595181	75645384	9	0.3146
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	75649234	162508268	50112	0.0162
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162512657	162524858	12	0.8847
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162528630	162532950	4	-0.6181
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162534730	162540490	6	-1.1203
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162545716	162623897	46	0.612
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162625980	162626603	4	-2.0061
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162628614	162714517	70	0.0558
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162717727	162719562	2	-3.1101
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	162726159	175080611	7591	0.016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	175080747	175080980	3	-1.492
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	175081226	192877902	11526	0.0147
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	192877962	192882888	18	-1.065
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	192882903	195400799	1491	0.0175
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	195409946	195455508	25	0.4368
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	3	195455861	197896118	1192	0.0397
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	4	12281	9456977	5249	0.0173
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	4	9461230	9486087	10	-0.9781
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	4	9496294	9859763	162	0.0112
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	4	9859897	9865042	5	-0.9309
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_E03_734934	4	9867502	10210390	377	-0.0183
