Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	61735	17190004	8831	-0.003
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	17190862	17262247	62	-0.4533
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	17276241	29198502	6781	-0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	29199437	29200326	2	-1.5103
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	29208956	72768916	27376	0.0035
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	72768936	72811148	45	-1.1813
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	72811904	76050844	1931	0.0056
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	76054763	76054854	2	-2.1808
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	76059509	104157336	18149	0.0023
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	104158309	104261206	29	0.4492
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	104268222	106021204	925	0.0164
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	106021219	106022375	11	-0.7477
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	106024055	110227515	2672	0.0163
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	110232974	110244998	19	0.8912
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	110246126	148953996	8358	0.0103
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	149024802	149436842	166	-0.6425
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	149521840	161617658	7040	-0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	161618031	161638201	25	0.4994
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	161638480	174796266	9546	0.0081
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	174796405	174801840	17	-0.7286
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	174801854	189022973	9489	0.0051
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	189027223	189031361	7	-1.1544
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	189032480	196714873	5162	0.016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	196727850	196823613	99	-0.3496
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	196823716	210071062	8814	0.0029
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F04_734902	1	210081613	210082065	2	-1.6561
