Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	1	3208470	245880329	128999	0.0021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	2	474222	182761903	97864	0.0065
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	2	182763240	182767445	5	-1.0468
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	2	182774179	242124735	33350	0.0041
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	3	526235	185940333	99214	-0.0045
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	3	185942570	185942635	2	-1.5196
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	3	185947214	199023074	7109	-0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	4	1043934	189836143	102657	2e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	5	967233	180293075	100445	-0.0038
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	6	959281	81768343	44483	0.0015
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	6	81770234	81942129	133	0.5882
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	6	81944105	170745844	51813	-0.0019
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	7	671810	158077879	81266	-0.0025
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	8	607667	145304484	81477	-4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	9	779932	97401026	41813	0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	9	97401916	97402254	3	-1.6885
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	9	97402313	140058573	26148	0.006
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	10	405240	135075077	80811	1e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	11	446120	25705498	16145	0.0062
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	11	25707654	25709077	3	-1.2207
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	11	25710928	133647740	61065	0.0022
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	12	760163	131671419	73897	0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	18348806	41549002	14657	0.0046
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	41554746	41554841	2	-1.9299
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	41555094	96851945	30891	0.003
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	96852593	96853118	2	-2.1882
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	96856166	106056305	6218	-6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	106057487	106057525	2	-1.9026
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	13	106057532	114005560	4840	0.0024
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	14	19571208	105059083	49402	4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	15	21238778	86184258	36225	0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	15	86184820	86186154	2	-1.3279
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	15	86187493	99701830	8268	0.0016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	16	593460	87907437	40841	0.0017
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	17	933971	78510305	36976	0.0022
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	18	319586	75210228	42630	0.0025
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	19	235018	63570038	23940	0.002
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	20	403764	61690281	37256	0.0058
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	21	14269492	46503202	20574	-0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	22	15803930	47717016	16918	0.0027
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	X	3167107	84826521	32440	0.0062
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	X	84831947	84831976	2	-3.723
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	X	84832250	96243117	4304	0.0081
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	X	96243995	96247289	4	-2.3452
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G03_734872	X	96248615	154558783	26918	0.009
