Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	61735	356542	29	0.6138
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	404171	38409311	20571	-0.6012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	38410590	72768916	22087	-0.1202
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	72768936	72811148	45	1.3127
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	72811904	85594437	8364	-0.1517
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	85594700	85594759	2	-3.0382
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	85597462	110227515	15327	-0.1573
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	110232974	110234628	11	-2.0137
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	110235032	112690326	1957	-0.1266
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	112695965	112697241	23	-2.3264
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	112697376	148870937	6350	-0.1269
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	148893345	149024802	14	-0.8164
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	149024808	149436842	165	-1.6487
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	149521840	149664041	14	0.1659
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	149676317	149732591	13	-0.799
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	149732625	151347525	728	-0.1467
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	151347700	151347820	2	-1.9172
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A01_707096	1	151348055	152555527	737	-0.1267
