Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	1	3218610	247167147	128591	0.0032
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	1	247172257	247276930	61	-0.8885
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	1	247284539	247813706	306	-0.004
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	2	484222	207113216	109800	7e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	2	207117762	207117893	2	-1.3298
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	2	207136550	239636422	19843	0.0026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	2	239636949	239637228	2	-1.311
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	2	239637675	242476062	1456	0.0223
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	3	2212571	197538677	106233	-0.0126
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	1053934	79293463	42936	-0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	79295310	79295322	2	-1.4895
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	79296137	124919739	25763	0.0016
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	124919843	124924127	2	-1.9792
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	124924196	162193979	20203	7e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	162194344	162205111	15	-0.9059
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	4	162220337	188763651	13688	5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	5	914233	23457592	13630	7e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	5	23457763	23461024	3	-1.8077
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	5	23461517	172244105	82447	-0.0012
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	5	172244113	172246572	6	-1.4432
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	5	172248256	180360469	4282	0.0022
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	6	1014281	170903919	96353	-3e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	7	705284	158385118	81215	0.0053
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	8	617667	42509227	24544	-0.0035
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	8	42509443	42517443	2	-1.6043
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	8	42518768	145232496	56873	4e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	9	789932	140938752	67930	0.001
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	10	415240	135225087	80750	0.0158
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	11	456120	134142530	77115	0.0015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	12	889902	133161346	73846	-2e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	13	19450806	47980309	18033	0.0037
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	13	47980319	47982171	3	-1.7323
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	13	47982648	91482625	23268	0.0065
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	13	91482876	91483355	4	-1.0079
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	13	91483415	114987458	15255	0.0029
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	14	20501368	105988038	49362	-2e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	15	23687685	61372083	20773	0.0013
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	15	61372759	61373581	2	-1.3786
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	15	61374719	68988069	4850	0.0025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	15	68991147	68996219	2	-1.3046
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	15	68996242	101884307	18841	0.0026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	16	653459	82578215	36901	0.0052
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B06_730690	16	82579688	82579811	2	-1.3319
