Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	1	3218610	247813706	129143	0.0033
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	484222	53766412	31495	0.0081
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	53769791	53770086	3	-1.3389
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	53770943	126638855	34232	0.0081
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	126641294	126641586	3	-1.5857
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	126654509	151898527	13472	0.0078
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	151898564	151898589	2	-1.2267
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	2	151899159	242476062	52113	0.0091
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	3	2212571	197538677	106405	-0.0029
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	4	1053934	61543330	33653	-0.0035
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	4	61543882	61544615	2	-1.7719
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	4	61552933	188763651	69101	-0.0048
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	5	914233	55505163	29166	-0.0029
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	5	55511394	55511421	2	-1.3085
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	5	55514343	180360469	71342	-5e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	1014281	66259358	35810	0.0058
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	66259713	66259977	2	-1.5527
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	66265965	134697015	39131	-0.0032
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	134697377	134697440	2	-1.3283
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	134697996	135335429	433	-0.0139
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	135342254	135343238	2	-2.1618
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	6	135349570	170903919	21129	0.0021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	7	705284	21344134	10317	-0.0018
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	7	21344368	21344431	2	-1.3569
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	7	21346667	134510505	58608	-0.0041
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	7	134512943	134512972	2	-1.2172
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	7	134513266	158385118	12398	-0.0021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	8	617667	145232496	81551	-0.0034
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	9	789932	140938752	68029	0.0052
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	10	415240	50871716	29466	0.002
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	10	50872246	50872912	3	-1.0387
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	10	50873591	135225087	51405	0.0043
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	11	456120	134142530	77264	0.0035
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	12	889902	126126340	70929	0.0016
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	12	126127409	126127702	3	-1.501
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	12	126129192	133161346	3026	-3e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	13	19450806	114987458	56654	-0.0014
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	14	20501368	67958479	26142	7e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	14	67964098	67964355	3	1.0467
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	14	67968294	92372530	15163	-0.001
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	14	92383999	92389465	8	-0.776
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	14	92390161	105988038	8139	0.0012
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	15	23687685	33641187	3841	0.0035
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	15	33646328	33646961	2	1.0609
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C06_680088	15	33647740	50253545	9662	0.0059
