Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	61735	3336621	832	-0.1224
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	3337408	3338348	3	-1.2836
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	3340235	16149915	7582	0.0024
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	16153497	16153925	6	-2.5615
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	16154201	25583341	5742	-8e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	25593128	25661501	29	0.5254
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	25662005	70912657	27616	0.0152
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	70913651	70923544	13	-0.7278
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	70923974	72759212	1212	-0.0153
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	72759509	72811148	53	0.9393
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	72811904	158866573	37633	0.0075
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	158868501	158869759	2	2.7912
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	158874818	169216937	7719	3e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	169233974	169241766	7	0.9774
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	169242401	196686139	18184	0.0125
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	196688159	196816730	121	0.3372
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	196823317	198317345	837	0.0082
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	198317536	198318763	2	-1.4596
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	198320391	210071062	7982	0.0131
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	210081613	210083984	3	-2.6046
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	1	210086552	249224388	27133	0.0041
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	12784	34691069	24114	1e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	34699315	34737057	46	0.6852
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	34737163	35975973	877	0.0329
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	35977790	35987916	6	-2.2161
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	35987947	40332851	3172	-0.0036
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	40335410	40336640	4	-1.5598
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	40338067	52754468	8988	0.0065
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	52754480	52781542	39	-2.807
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	52787949	57450236	3428	-0.0053
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	57450614	57455472	2	-1.8626
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	57461044	59462258	1233	-0.0181
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	59467016	59467399	3	-1.5548
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	59471282	68182025	5491	0.0087
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	68184250	68185919	2	-1.2857
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	68186622	68886691	449	0.0257
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	68888314	68888708	3	-0.9776
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	68890104	69206549	248	0.0163
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	69208834	69209250	2	-1.5823
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	69211927	70941813	1142	0.017
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	70943418	70944016	4	1.6961
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	70944492	77878335	4257	0.0108
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	77880436	77883164	2	-1.261
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	77883277	77990617	70	0.0521
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	77990772	77992987	12	0.5364
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	77993009	78700957	438	0.0084
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	78702076	78721681	13	-0.9867
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	78721902	79585003	604	0.0263
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	79585056	79589920	5	-1.1594
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	79591277	98118212	6671	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	98140747	98162189	9	-1.4582
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	98166878	106881539	5580	0.0069
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	106881633	106885357	9	0.8498
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	106887255	109585248	1616	0.0202
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	109585410	109588356	6	-0.8119
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	109590380	109693443	81	0.0118
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	109695116	109698148	4	-0.8296
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	109698697	112138965	935	0.0192
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	112142905	112152850	5	-0.9442
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	112153109	114324463	1190	0.0038
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	114325089	114331775	3	-1.5748
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	114362015	130793856	10511	0.0044
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	130793883	130817339	3	-1.5149
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	130817360	146678696	9495	1e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	146679403	146680678	3	-1.3502
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	146681263	146862085	102	-0.0263
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	146864404	146878475	30	1.0729
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	2	146878532	243089456	59167	0.0089
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	60345	6642395	5840	0.0017
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	6642536	6659381	37	0.3959
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	6659538	98944511	57961	0.0077
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	98944547	98950964	36	-0.5487
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	98951383	121324957	13693	0.0014
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	121326676	121335461	13	-0.5977
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	121336046	129761124	5044	0.0047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	129762859	129806236	53	0.613
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	129806924	163714937	21005	0.0074
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	163715812	163716845	4	-2.2186
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	163719101	165040863	676	0.0132
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	165041548	165081939	65	-0.824
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	165085429	169348003	2530	0.0116
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	169348944	169350604	3	-1.4472
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	169352458	192877962	15289	0.0103
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	192878045	192879006	5	1.7026
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	192880473	192886942	24	0.281
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	192886964	195462316	1511	0.0037
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	195464094	195464866	5	0.4783
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E03_697448	3	195473796	195474763	3	-1.1781
