Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	3218610	17576328	7415	-0.0182
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	17578365	17579298	5	-1.1582
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	17585095	38596859	11042	0.0063
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	38601480	38606455	3	-4.9055
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	38608557	192806241	75227	-0.0126
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	192806915	192807179	2	-3.6111
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	1	192808684	247813706	34771	-0.0175
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	484222	4284303	1761	-0.0348
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	4284970	4285500	2	-3.6172
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	4287408	9349653	3489	-0.0141
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	9352382	9353028	4	-2.8999
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	9353255	41990064	19011	-0.0092
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	41993584	41993726	2	-5.0372
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	2	41996325	242476062	106367	-0.0141
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	2212571	3340244	539	-0.7095
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	3342600	3343193	2	-5.0753
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	3343872	6376038	1432	-0.699
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	6376084	6376860	2	-5.6035
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	6379792	6823823	142	-0.6229
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	6824396	6827120	7	-2.8064
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	6828348	24996029	10910	-0.6548
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	24996580	24997330	3	-3.472
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	24997512	64008002	21971	-0.6353
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	64009102	64013062	4	-3.4119
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	64013664	71743806	5448	-0.664
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	71744099	71745012	3	-4.0386
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	71745688	72043501	234	-0.6389
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	72043634	72047734	6	-3.3606
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	72048399	76980687	2791	-0.6876
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	76980747	77012164	28	-4.306
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	77012177	77744748	451	-0.6924
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	77745334	77746082	3	-4.1065
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	77746857	106348442	12875	-0.6436
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	106350424	106351827	5	-2.8161
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	106354003	111679072	2804	-0.646
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	111681286	111682183	3	-4.4697
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	111683064	131923127	11687	-0.6356
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	131924008	131924851	2	-5.4975
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	131925974	141549380	5484	-0.6357
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	141551154	141552043	3	-5.6877
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	141555210	142842896	466	-0.6029
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	142846370	142847282	3	-2.8625
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	142848334	149739523	3318	-0.6525
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	149739928	149741633	3	-3.8237
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	149742560	152189949	1463	-0.6629
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	152190321	152192281	4	-4.4387
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	152193063	156172755	2009	-0.6384
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	156175584	156175657	2	-5.7848
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	156176341	170841135	7270	-0.645
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	170842217	170849546	5	-2.9985
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	170851959	172116635	629	-0.659
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	172120847	172121012	2	-3.9815
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	172121068	173881408	828	-0.647
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	173889619	173896099	2	-3.4078
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	173899810	188075409	7342	-0.6388
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	188076201	188077173	4	-5.3221
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	3	188080163	197538677	4583	-0.6394
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	1053934	23884711	14046	-0.0132
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	23885495	23885568	2	-2.6819
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	23887256	126527124	55360	-0.0159
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	126528940	126529334	2	-3.0975
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	126535118	129375834	1407	-0.0294
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	129379021	129379348	2	-2.2163
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	129379879	131552432	1152	-0.0306
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	131556864	131560875	3	-1.831
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	131561136	149762175	9698	-0.0119
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	149762448	149763312	6	-3.1838
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	4	149767130	188763651	20580	-0.0156
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	5	914233	165185087	91253	0.4189
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	5	165186172	165188449	2	-2.5062
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	5	165193809	180360469	9062	0.4191
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	6	1014281	8710526	5613	-0.0155
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	6	8713328	8717807	4	-1.4982
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	6	8718763	24158542	10667	-0.0091
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	6	24161836	24163221	2	-2.7224
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H06_729384	6	24163706	64923556	18680	-0.01
