Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	1	3218610	43476957	21307	-0.0022
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	1	43477796	43478606	2	-1.6896
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	1	43486624	247813706	107835	0.0013
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	484222	126810801	65827	2e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	126817822	126819680	5	-0.9968
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	126820520	127487622	387	0.0176
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	127492155	127492191	2	-1.4359
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	127492454	216855473	49508	8e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	216858851	216867363	12	-1.2611
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	2	216871480	242476062	15570	-0.0032
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	3	2212571	197538677	106382	-0.0037
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	4	1053934	188763651	102750	0.0025
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	5	914233	180360469	100519	0
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	6	1014281	170903919	96507	0.001
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	7	705284	158385118	81328	0.0049
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	8	617667	145232496	81541	0.0021
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	9	789932	72142700	24238	0.0015
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	9	72147208	72149475	6	-0.9813
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B03_777394	9	72153497	140938752	43782	1e-04
