GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bf741932-f853-4961-97db-31925370bbb1	1	62920	15823420	8320	0.0003
bf741932-f853-4961-97db-31925370bbb1	1	15827002	15827430	6	-2.3529
bf741932-f853-4961-97db-31925370bbb1	1	15827706	72297687	34377	0.0014
bf741932-f853-4961-97db-31925370bbb1	1	72302735	72345465	48	1.2747
bf741932-f853-4961-97db-31925370bbb1	1	72346221	89009572	10916	0.0083
bf741932-f853-4961-97db-31925370bbb1	1	89012275	89012522	2	-3.1302
bf741932-f853-4961-97db-31925370bbb1	1	89015841	103560608	9051	0.0063
bf741932-f853-4961-97db-31925370bbb1	1	103566616	103616762	27	1.0105
bf741932-f853-4961-97db-31925370bbb1	1	103620877	109684893	3570	0.0034
bf741932-f853-4961-97db-31925370bbb1	1	109690352	109692006	9	-0.9134
bf741932-f853-4961-97db-31925370bbb1	1	109696900	112147704	1948	0.0067
bf741932-f853-4961-97db-31925370bbb1	1	112153343	112154768	25	0.584
bf741932-f853-4961-97db-31925370bbb1	1	112163334	152583051	7591	0.0112
bf741932-f853-4961-97db-31925370bbb1	1	152583230	152614118	35	-1.8982
bf741932-f853-4961-97db-31925370bbb1	1	152618018	194883303	28375	0.0039
bf741932-f853-4961-97db-31925370bbb1	1	194885619	195062729	129	-1.0523
bf741932-f853-4961-97db-31925370bbb1	1	195063428	195086042	36	-0.0024
bf741932-f853-4961-97db-31925370bbb1	1	195097044	195116752	11	-1.0311
bf741932-f853-4961-97db-31925370bbb1	1	195119741	196762956	1062	0.0209
bf741932-f853-4961-97db-31925370bbb1	1	196769493	196846661	57	0.5895
bf741932-f853-4961-97db-31925370bbb1	1	196847600	222847162	17710	-0.0019
bf741932-f853-4961-97db-31925370bbb1	1	222849581	222850262	2	-2.9952
bf741932-f853-4961-97db-31925370bbb1	1	222850427	248930189	18046	0.0044
bf741932-f853-4961-97db-31925370bbb1	2	12784	737505	518	0.0769
bf741932-f853-4961-97db-31925370bbb1	2	742100	747161	3	-1.5366
bf741932-f853-4961-97db-31925370bbb1	2	751300	4168862	2469	-0.0045
bf741932-f853-4961-97db-31925370bbb1	2	4168879	4176429	37	0.3778
bf741932-f853-4961-97db-31925370bbb1	2	4182472	34427804	21001	0.0054
