Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	61735	8596351	4225	-0.4353
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	8596742	17005978	4495	-0.0073
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	17011450	17012741	12	-0.8589
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	17012785	72756113	34069	0.016
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	72756142	72763370	8	-1.138
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	72768418	72811148	48	0.6384
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	72811904	111364747	24455	0.0477
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	111364872	111412279	84	0.3197
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	111414892	112690326	1034	0.0969
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	112695965	112697390	25	-1.83
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	112705956	120527395	5037	0.037
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	120540804	120592874	12	0.6507
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	120607154	144880417	188	0.1596
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	144884249	148789461	1097	0.483
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	148789848	149024808	21	-0.1795
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	149036524	149205429	97	-0.6053
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	149205446	149243072	16	-0.2548
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	149243241	149248712	14	0.2474
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	149248727	149436842	37	-0.2895
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	149521840	152555527	1491	0.4156
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	152555706	152590494	36	1.5397
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	152590565	152762667	182	0.4143
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	152762762	152767864	14	0.8658
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	152767884	153340824	470	0.3835
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	153344374	153355724	5	1.1804
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	153357021	194137549	27325	0.3267
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	194138690	196741316	1646	-0.0801
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	196741367	196815791	81	0.2909
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	196816730	214637808	11836	-0.1396
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	214638436	214645047	7	-0.8043
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	214645154	241608403	18909	-0.2229
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	241609758	241722619	91	1.1318
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	241724922	242221720	352	-0.2802
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	242223343	242695869	391	0.1573
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	242696190	248737447	3921	-0.1884
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	248749194	248797213	33	-2.3379
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	1	248805339	249224388	140	-0.3436
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_B09_1343772	2	12784	9388386	7123	-0.4891
