Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	3218610	7324468	2542	-0.0142
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	7324959	7325420	3	-1.118
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	7326201	57266676	26347	-8e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	57266880	57267749	2	-1.9366
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	57267946	204822625	72633	0.0405
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	204826114	204846772	11	0.6526
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	204852843	247455719	27378	0.0292
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	247456607	247457854	3	-0.9449
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	1	247460356	247813706	230	0.0142
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	2	484222	235315387	127000	0.0391
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	2	235315413	235320568	3	-1.0344
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	2	235321199	238553447	2171	0.0063
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	2	238555843	238556768	2	-1.3094
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	2	238557183	242476062	2116	0.0144
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	2212571	31444842	17412	-0.5937
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	31445509	31446971	11	-1.4092
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	31447156	109511105	41799	-0.5944
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	109519982	110210464	415	0.0714
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	110210570	110210628	2	-1.1672
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	110212354	112873300	1610	0.0785
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	112874860	112893434	13	0.6274
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	112895906	145473020	18498	0.0547
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G08_697912	3	145478935	145750528	175	-1.1235
