Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	1	3218610	247813706	129143	0.0028
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	2	484222	242476062	131310	-0.0013
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	3	2212571	172587874	93729	-0.0013
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	3	172590559	172593609	4	-1.0202
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	3	172594666	197538677	12646	0.0026
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	4	1053934	42832983	25716	9e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	4	42833792	42836398	2	-2.4085
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	4	42837683	188763651	77028	-8e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	5	914233	180360469	100511	9e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	6	1014281	160071844	90977	0.001
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	6	160074418	160074445	2	-1.4488
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	6	160075703	170903919	5525	1e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	7	705284	158385118	81326	-0.002
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	8	617667	145232496	81535	0.0027
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	9	789932	140938752	68021	-1e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	10	415240	83830621	48456	-0.0011
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	10	83830827	83831519	3	-1.3389
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	10	83832304	135225087	32401	-0.0024
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	11	456120	134142530	77258	0.0014
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	12	889902	133161346	73929	0.0013
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	13	19450806	41274580	13921	0.0021
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	13	41277057	41288253	5	-1.1811
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	13	41291794	114987458	42730	0.0042
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	14	20501368	105988038	49440	0.0027
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	15	23687685	62110478	21476	0.0039
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	15	62110930	62111300	2	-1.3763
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	15	62111846	101884307	23055	0.0029
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	16	653459	87401744	40296	0.0011
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	16	87404375	87404390	2	-1.6481
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	16	87404860	89379936	504	-0.0131
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	17	987221	80917016	36985	0.0029
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	18	329586	44858900	23945	0.008
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	18	44862443	44862895	2	-1.2807
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	18	44864122	63956911	12182	0.0121
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	18	63958568	63965263	4	-1.3103
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	18	63965270	77109240	6531	0.0066
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	19	284018	22634319	8179	0.0032
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	19	22634929	22635453	3	-1.1767
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	19	22639349	58878226	15771	0.0014
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	20	455764	44791972	25518	0.0018
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	20	44792633	44793115	2	-1.2503
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	20	44798391	62219837	11765	0.0055
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	21	15347621	15616629	117	0.0042
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	21	15616687	15616772	4	-0.9759
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	21	15620391	47678774	20462	0.0021
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	22	17423930	49331012	16922	0.0017
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	X	3157107	83855761	32228	-0.0019
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	X	83859425	83864862	5	-0.9108
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F03_777484	X	83866702	154905589	31563	0.0042
