Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	1	3218610	247813706	129100	0.0032
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	484222	6972341	3759	0.0034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	6977519	6983348	6	-0.9973
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	6989639	41990064	20648	-9e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	41993584	41993726	2	-1.753
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	41996325	226135323	97315	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	226136932	226143905	8	-0.9841
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	2	226148202	242476062	9529	0.0064
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	3	2212571	30191123	16527	-0.0034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	3	30192544	30192565	2	-1.8498
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	3	30192777	197538677	89837	5e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	4	1053934	86643742	47335	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	4	86643857	86644102	3	1.4002
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	4	86644130	188763651	55389	-0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	5	914233	180360469	100498	-7e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	6	1014281	170903919	96481	0.0048
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	7	705284	158385118	81313	0.0018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	8	617667	18879852	9828	0.0054
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	8	18880355	18881376	2	-2.1478
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	8	18881403	110577425	50497	4e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	8	110579332	110582762	3	-1.7863
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	8	110583610	145232496	21189	-8e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	789932	25233739	15577	9e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	25235693	25251861	14	-0.9269
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	25353053	34566734	5174	0.0022
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	34566969	34567214	3	1.0955
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	34568400	80760622	9353	0.0063
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	80762423	80763909	3	-1.2282
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	9	80770730	140938752	37886	0.0082
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	10	415240	135225087	80837	0.0081
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	11	456120	9869786	5015	0.0033
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	11	9871016	9871682	4	-0.9916
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	11	9872813	134142530	72220	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	12	889902	133161346	73925	0.0042
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	13	19450806	107382635	51881	-0.0025
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	13	107384238	107384710	2	-1.9643
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	13	107385235	113177395	4186	-0.0032
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	13	113178222	113179283	2	-1.5105
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	13	113182052	114987458	557	0.0242
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	14	20501368	74420476	30087	-0.0032
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	14	74423777	74423782	2	-1.6381
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	14	74425056	105988038	19349	0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	15	23687685	101884307	44529	0.0077
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	16	653459	79360803	34302	0.0015
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	16	79361813	79361953	2	-1.3884
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	16	79364842	89379936	6469	0.0063
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	17	987221	80917016	36981	0.0034
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	18	329586	3973509	1644	-0.0149
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	18	3973988	3976855	2	-1.4413
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H04_697270	18	3977713	77109240	40999	-0.0088
