Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	1	3218610	30219424	13948	-0.0013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	1	30220903	30221061	2	-1.5518
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	1	30221765	112774337	48920	0.0019
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	1	112774599	112775365	3	-1.6779
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	1	112775502	247813706	65907	-8e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	2	484222	242476062	130982	0.0034
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	3	2212571	197538677	106152	9e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	4	1053934	188763651	102524	-7e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	5	914233	180360469	100296	0.0014
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	6	1014281	135982060	75653	0
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	6	135982876	135983123	3	-1.4632
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	6	135993533	170903919	20612	-0.001
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	7	705284	158385118	81132	0.0061
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	8	617667	145232496	81338	-0.0017
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	9	789932	140938752	67857	0.0019
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	10	415240	135225087	80645	0.0015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	456120	27410276	17341	6e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	27413561	27414208	2	-1.9714
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	27417278	116530251	47632	0.002
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	116530998	116539118	16	-0.9561
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	116545473	127012669	7350	0.0045
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	127013570	127013829	3	-1.3182
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	11	127015160	134142530	4692	-0.0023
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	889902	41706422	20961	0.0016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	41706974	41708761	2	-2.463
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	41708862	58981197	9148	-0.0017
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	58982351	59216171	161	0.545
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	59216257	59227576	27	0.1793
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	59227591	59318487	71	0.4891
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	12	59326664	133161346	43370	-1e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	13	19450806	23070615	1792	0.0055
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	13	23070641	23070662	2	-1.8524
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	13	23070862	114987458	54694	-0.0016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	14	20501368	89556580	39472	0.0028
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	14	89557112	89557712	3	-1.4878
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	14	89562144	105988038	9820	0.001
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	15	23687685	101884307	44405	-0.0017
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	16	653459	89379936	40685	0.0015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	17	987221	80917016	36889	-4e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	18	329586	77109240	42554	-0.0049
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	19	284018	58878226	23874	0.0014
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	20	455764	18952434	12108	0.0016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	20	18952598	18953998	2	-1.7936
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	20	18954449	48971714	15983	-0.0012
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	20	48974248	48974390	2	-1.8343
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	20	48975793	62219837	9072	0.0012
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	21	15347621	47678774	20542	-0.0026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	22	17423930	49331012	16865	-0.0036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	X	3157107	110620035	43443	0.0013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	X	110621812	110627133	3	-3.6513
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B08_777088	X	110632488	154905589	20010	0.002
