GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	62920	5846358	2698	0.0923
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	5848673	6740430	448	0.3795
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	6740891	12813243	3366	0.0819
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	12817195	15820537	1812	-0.3705
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	15820568	15841285	22	0.0421
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	15841304	16679239	326	-0.3474
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	16679281	16949746	81	0.004
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	16951445	19353770	1706	-0.3855
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	19353930	19354038	2	-2.5625
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	19354050	22170210	1735	-0.3691
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	22175223	22177779	3	-1.7916
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	22180930	30254028	4209	-0.3565
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	30258675	30266949	13	-1.2205
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	30268649	35977968	3176	-0.3623
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	35978602	46803666	6117	0.0864
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	46804224	46804312	2	-1.6573
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	46805282	54624527	4303	0.071
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	54627618	54628716	2	-2.1913
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	54630777	60511630	4569	0.0854
473b862c-eeb8-4fc2-8a6e-4e8ced3172f2	1	60517529	60518110	4	-1.0735
