Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	51598	16808543	8744	0.009
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	16808594	16842979	25	-0.7233
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	16843043	16921066	39	-0.0825
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	16929044	17050552	22	-0.9048
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	17055024	17067742	4	-0.0303
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	17076084	17134834	60	0.4623
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	17148828	25455928	5272	0.0058
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	25465715	25517771	22	-1.8624
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	25518245	72541504	28787	0.0055
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	72541524	72551668	9	2.3931
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	72551679	72583736	36	0.9701
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	72584492	110029038	23735	0.0019
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	110034497	110044476	18	-1.3903
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	110046521	111177743	840	-0.0056
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	111178891	111189749	39	-0.866
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	111193590	112497610	1080	0.0054
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	112497716	112507585	26	0.5256
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	112507605	120370130	5065	0.0045
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	120379576	120391076	4	-0.9766
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	120394397	143661332	248	-0.0197
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	143669045	143795221	48	-0.4852
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	143796049	147307826	1019	0.0319
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	147307849	147703466	161	0.535
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	147788464	150822330	1496	0.0051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	150822391	150853200	33	-1.4665
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	150853218	151028547	173	0.02
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	151028563	151035324	36	-1.8307
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	151040529	158187343	4332	-0.009
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	158189735	158199885	11	-1.1057
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	158203446	173063028	10538	0.0065
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	173063179	173068463	16	-1.0114
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	173068477	192714857	13213	0.0061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	192718034	192721641	2	-1.9536
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	192723639	194981496	1454	-0.0046
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	194994473	195068278	87	-0.5586
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	195068407	197377986	1390	-4e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	197378049	197380463	8	-2.3331
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	197380861	242740469	31755	0.0021
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	242743792	242755300	2	-2.2586
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	1	242755652	247191011	2826	0.0333
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	2784	10240290	7818	0.0077
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	10249364	10249370	2	-1.6399
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	10252462	41091739	21173	0.007
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	41091947	41099391	23	-0.6111
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	41104737	52608385	8202	0.0091
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	52612257	52649630	45	-0.3579
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	52654098	55068416	1895	0.02
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	55069329	55073303	8	-1.42
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	55078785	86791198	20042	0.0018
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	86806581	86807365	2	-1.5417
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	86823917	107807168	8739	9e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	107813401	107874484	7	0.8699
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F06_741944	2	107886808	123188649	8552	0.0051
