Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	61735	1510801	226	0.0592
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	1627918	1672603	17	0.6149
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	1687587	16153497	8180	0.0035
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	16153536	16167780	11	0.4985
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	16167799	16963313	325	0.0118
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	16963545	17087292	59	0.2456
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	17089349	35091674	10354	0.0012
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	35102654	35114268	21	-0.635
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	35115542	62113102	16487	0.0038
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	62114006	62119809	5	-0.8083
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	62119978	72763370	7385	0.0085
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	72768418	72811133	47	0.4845
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	72811148	89475255	10986	0.003
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	89477958	89483616	4	0.8033
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	89485298	103401033	8809	0.0018
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	103404107	103404936	4	-0.9629
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	103406045	104157336	290	0.0108
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	104158309	104268222	30	-0.9728
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	104303403	106012754	919	0.0075
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	106013376	106022375	18	0.9849
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	106024055	110221727	2657	-9e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F09_777416	1	110224384	110244998	34	0.9006
