GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	62920	850545	40	-0.0331
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	850609	3285881	693	0.1575
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	3286332	16407759	7844	0.0106
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	16410856	16988207	181	0.1522
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	16993283	24851840	4943	0.0007
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	24853888	24857660	4	-0.9968
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	24858706	25256850	291	-0.0034
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	25266637	25320253	23	0.7436
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	25320455	72297687	28703	-0.0008
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	72302735	72345465	48	-0.5391
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	72346221	103616762	19992	-0.0015
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	103620877	103717410	5	-1.3288
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	103717617	109684893	3568	0.0108
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	109690352	109697556	13	1.9844
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	109702376	112147626	1942	0.0033
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	112147704	112163440	29	0.4651
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	112163460	152582700	7580	0.0067
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	152583051	152614118	36	0.6361
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	152618018	152787202	166	-0.0151
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	152789447	152796094	36	0.4075
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	152796224	174827418	14775	-0.0005
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	174827561	174832716	16	-0.7938
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	174832734	192450930	11673	0.0079
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	192451498	192451767	2	-3.3084
e99fa804-6e68-4070-bbf6-6f5fc096993b	1	192452097	203937000	7533	0.0003
