Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	61735	62937	6	0.512
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	72704	564621	26	0.0092
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	603590	12859292	6486	-0.6699
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	12859399	12862337	9	0.2318
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	12867090	13375345	34	-0.475
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	13375401	13376042	5	-2.3753
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	13376489	16115370	1790	-0.6748
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	16116658	16155010	49	-0.2584
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	16165661	25583341	5723	-0.6572
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	25593128	25662005	30	-1.5027
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	25662212	39128601	7173	-0.6466
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	39132430	39132462	5	0.486
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	39135188	50897960	6627	-0.6592
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	50901565	50918899	10	-1.8979
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	50921122	50939762	16	-4.3892
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	50939941	51477088	229	-2.0018
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_C12_1367764	1	51477334	52984169	623	-0.6361
