Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	1	3208470	6428713	2066	0.0045
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	1	6440090	6442191	2	-1.6924
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	1	6452776	245880329	127013	0.0015
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	2	474222	242124735	131307	-0.0037
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	3	526235	199023074	106386	0.0033
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	4	1043934	189836143	102731	0.0019
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	5	967233	180293075	100512	0.0012
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	6	959281	108698811	59658	0.0026
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	6	108703772	108718559	11	-1.2822
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	6	108719210	153682583	27266	0.0016
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	6	153689401	153698568	9	-0.9518
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	6	153704118	170745844	9547	0.0038
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	7	671810	55628997	32927	0.0018
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	7	55629000	55629681	3	-1.3512
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	7	55629980	158077879	48399	9e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	8	607667	8681942	3421	0.0056
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	8	8683656	8686842	6	-1.2022
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	8	8688197	113828407	58536	0.0043
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C08_777490	8	113832019	113836197	4	-1.2253
