Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	51598	16015547	8411	0.0052
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	16019619	16027597	21	0.4065
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	16038248	16965844	388	0.0089
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	16966004	17134834	79	-0.3441
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	17148828	23830370	4374	-0.0061
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	23831508	23832200	2	-2.056
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	23833455	34864181	5897	-0.0045
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	34864225	34877078	22	0.3782
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	34886855	38901188	2196	-0.016
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	38905017	38905049	5	1.1343
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	38907775	72535958	21593	0.0044
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	72541006	72583526	45	-0.2734
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	72583664	83626239	7129	-0.0031
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	83626896	83629841	2	-1.4987
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	83629957	103960870	12977	0.0113
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	103960907	104069745	28	0.6055
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	104104926	105803685	918	0.0108
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	105814277	105823898	19	0.6869
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	105825578	108531282	1942	0.0145
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	108535758	108540627	4	0.8021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	108540694	110023250	708	0.021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	110025907	110028493	11	0.6668
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	110028840	110029038	4	-0.0142
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	110034497	110041701	17	1.2506
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	110044476	111864846	1425	0.0222
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	111865314	111869327	2	1.2066
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	111869697	112491849	530	0.0191
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	112497488	112498913	25	0.557
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	112507479	151023398	8250	0.0168
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	151023430	151034377	29	-0.4637
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	151034488	167483561	11359	0.0044
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	167500598	167508390	7	-3.9556
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	167509025	173063179	3527	-0.0032
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	173063322	173064233	12	-0.798
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	173064310	187914780	9925	0.0091
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	187915106	187915150	2	-1.894
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	187918670	194994473	4746	-0.0021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	194997658	195024772	37	-0.506
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	195024782	195065328	36	-0.1125
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	195065342	195068278	13	-0.6094
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	195068407	197377986	1390	3e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	197378049	197380463	8	-2.4341
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	197380861	200833895	2310	0.0063
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	200834176	200834409	3	1.0765
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	200835165	206162311	3442	0.0096
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	206163284	206164788	3	-0.9304
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	206165382	208137685	1678	0.0185
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	208148236	208153175	4	1.0998
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	208160117	238458363	21206	5e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	238460638	238460762	6	-1.7668
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	238462728	240487462	1583	-1e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	240487511	240491378	2	-1.5209
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	240491493	246804070	4172	0.0095
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	246815817	246856911	28	-0.6628
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	1	246861087	247191011	149	0.0885
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	2784	5653772	4193	0.0299
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	5653958	5654564	2	-1.7457
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	5655032	9094655	2854	0.0148
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	9102763	9102827	2	-1.2982
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	9105939	18184067	6677	0.0157
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	18191820	18207420	21	0.4551
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	18215886	24460575	4219	0.0069
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	24462969	24465231	12	-0.6885
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	24467063	41091739	11027	8e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	41091947	41096347	16	-0.7088
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	41096372	50619379	6818	0.0094
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	50619511	50620287	2	-1.1953
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	50620492	52595241	1384	0.0068
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	52597429	52608065	5	-0.7793
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	52608232	52608385	3	-2.8015
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	52612257	52635046	33	-0.4533
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	52641453	77827553	16325	0.0043
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	77830206	77830734	7	1.0423
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	77840186	77842820	4	-0.1263
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	77842894	77850378	36	1.0972
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	77850393	140368890	33451	0.0148
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	140369567	140372430	3	-1.624
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	140373777	140763047	270	0.0139
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	140763921	140766352	3	-0.9414
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	140772778	146578555	3579	0.0069
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	146580874	146583404	24	-1.9477
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	146594276	150737180	2265	0.0073
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	150739048	150745978	6	-0.7463
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	150747454	151155061	234	0.007
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	151155309	151155502	2	-1.2481
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	151159447	164345098	8101	0.0134
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	164351734	164353372	5	-0.8883
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	164354888	183792398	12271	0.0039
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B12_680140	2	183793698	183797969	10	-1.1304
