GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	62920	991051	72	0.0413
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	1011654	2998148	529	-0.1459
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	3003378	3005456	4	-1.2759
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	3008958	3304487	135	-0.1466
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	3305057	72297687	41962	-0.0015
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	72302735	72307730	9	-1.778
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	72307746	72313397	3	-3.8694
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	72313408	72345465	36	-1.676
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	72346221	105470754	20920	0.0076
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	105476583	105479753	17	-2.3731
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	105481433	109690949	2636	0.0115
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	109691609	109697556	7	1.4597
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	109702376	143546851	7123	0.0041
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	143547055	143811517	115	-0.9006
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	143890323	152583051	2315	-0.0077
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	152583230	152613802	32	-1.6764
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	152614064	152787202	170	0.0063
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	152789447	152795487	31	0.6953
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	152795783	189053842	24268	-0.0002
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	189058092	189062230	7	-0.9604
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	189063349	189300100	163	-0.0028
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	189301309	189610772	195	0.1666
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	189610955	193244080	2498	0.009
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	193244261	193244344	4	1.6876
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	193252785	196735916	2276	0.0074
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	196735966	196843400	74	0.2617
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	196846661	201417428	2981	0.0038
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	201420557	201430960	3	-0.9125
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	201431864	201504519	67	0.0178
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	201505272	201505416	2	-1.4768
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	201506092	222193326	14307	0.0032
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	222201492	222203662	2	-4.0956
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	222208792	242222143	14083	-0.0023
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	242223763	242227908	6	-1.204
3e37d5fd-bbcf-4914-a26a-528a5d50da97	1	242229110	248930189	4306	0.0053
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	12784	759749	529	-0.0004
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	763174	1876748	683	-0.0764
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	1880129	3129829	955	-0.0004
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	3130604	3257276	125	-0.175
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	3257399	14563570	8727	0.0025
3e37d5fd-bbcf-4914-a26a-528a5d50da97	2	14564825	14569968	12	-1.3085
