Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	51598	702408	36	0.6068
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	708526	13952579	6772	-0.0632
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	13953269	13964166	3	-1.5459
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	13968655	16026084	1589	-0.0602
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	16026123	16027553	8	0.7098
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	16027597	16724101	299	-0.0151
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	16741950	17133835	161	0.3632
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	17133850	72522941	34015	-0.0539
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	72528701	72535958	9	-0.8843
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	72541006	103904753	20098	-0.0225
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	103910761	103979561	30	0.7662
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	104023054	104027091	11	-0.1041
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	104041212	104105024	15	1.0233
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	104105162	105814899	916	-0.0333
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	105820728	105823898	17	-0.7161
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	105825578	108463159	1894	-0.0157
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	108463595	108463742	2	-2.9476
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	108464533	110023250	754	-0.0221
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	110025907	110054653	52	0.5365
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F11_729498	1	110062265	120328918	7012	-0.0285
