Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	1	3208470	245880329	129081	0.0013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	2	474222	70617053	41255	0.002
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	2	70617982	70650898	18	0.4901
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	2	70656691	198599312	63891	0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	2	198602757	198603338	2	-2.4651
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	2	198606384	242124735	26137	0.0028
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	3	526235	28647422	15470	-0.0015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	3	28650718	28651596	2	-1.5922
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	3	28653110	41047590	7779	0.0017
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	3	41048546	41048621	2	-1.8538
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	3	41049415	199023074	83139	-0.0017
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	4	1043934	189836143	102744	0.0011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	5	967233	128605815	69053	0.0013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	5	128608297	128612007	2	-1.5885
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	5	128612737	180293075	31451	0
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	6	959281	135377122	75364	0.0025
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	6	135383947	135384931	2	-2.2365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	6	135391263	138551073	2132	-4e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	6	138557285	138559166	3	-1.3997
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	6	138560777	170745844	18984	0.0023
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	7	671810	8528086	3202	0.0129
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	7	8528987	8529929	6	-0.9492
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	7	8530510	158077879	78120	0.0043
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	8	607667	145304484	81528	8e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	9	779932	140058573	68023	0.0036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	10	405240	135075077	80872	0.0072
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	446120	26982453	17100	0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	26983000	26983255	3	-1.2618
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	26984821	73831842	21717	0.0044
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	73832334	73833107	3	-1.1298
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	73835041	96162012	13529	0.0027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	96162242	96163027	6	-0.8293
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	96163229	96807812	475	-0.0085
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	96807894	96808034	2	-1.341
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	96810538	100324657	2292	-9e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	100324756	100325169	2	-1.3894
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	100325873	105406898	3087	0.0025
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	105407894	105411057	3	-1.3127
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	11	105416001	133647740	19043	0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	12	760163	109796473	62392	0.013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	12	109799740	109800249	2	-1.777
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	12	109804107	131671419	11557	0.0161
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	13	18348806	114005560	56653	7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	14	19571208	36479146	9265	-3e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	14	36480510	36481210	2	-1.5019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	14	36483275	105059083	40181	0.0029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	15	21238778	99701830	44530	0.0055
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	16	593460	71921365	30041	0.0066
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	16	71922309	71926687	5	-1.3751
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	16	71927865	87907437	10822	0.0021
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	17	933971	78510305	36989	0.0061
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	18	319586	75210228	42678	0.0076
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	19	235018	52565127	19441	0.0047
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	19	52568841	52569773	5	-1.2525
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	19	52569957	63570038	4503	0.0057
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	20	403764	32889873	18547	0.0037
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	20	32896184	32898223	2	1.509
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	20	32898822	45101212	7652	0.0012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F05_697666	20	45102530	45102856	3	1.1982
