GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	62920	98602	13	0.5559
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	259407	3296382	723	-0.0191
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	3298168	7740843	3072	0.0539
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	7750483	8142933	240	0.0078
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	8146070	8157027	7	0.8546
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	8157417	15823420	4284	0.0345
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	15827002	15827430	6	0.9607
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	15827706	16570326	305	0.0111
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	16583114	16643683	23	0.4672
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	16643816	20556710	2625	0.053
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	20556929	20557323	4	-1.0896
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	20558448	25256850	2721	0.03
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	25266637	25320253	23	0.6379
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	25320455	34626037	4946	0.043
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	34626073	34638890	21	-0.5934
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	34648667	55464257	11690	0.0345
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	55464431	55464777	2	-1.584
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	55466074	61647430	4775	0.0392
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	61648334	61652515	3	-4.1634
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	61654137	61654306	2	-0.5443
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	61654892	72284670	7284	0.0188
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	72290430	72297687	9	-0.8807
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	72302735	72345465	48	1.666
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	72346221	105470754	20957	0.0072
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	105476583	105479753	17	-0.7966
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	105481433	109679105	2632	0.005
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	109684695	109697556	15	1.2622
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	109702376	110834746	836	0.0285
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	110834943	110845604	38	-1.0233
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	110849445	112147704	1076	0.0171
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	112153343	112154768	25	0.5848
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	112163334	116651953	2886	0.0254
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	116657749	116657782	2	-2.187
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	116663714	143541857	2277	0.0323
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	143545399	143713884	89	-0.7814
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	143713930	143754798	24	-0.0984
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	143759680	143942271	12	-0.8104
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	144432083	152583051	2313	0.0181
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	152583230	152613762	31	-2.6416
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	152613802	152614118	4	-1.1986
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	152618018	152787202	167	0.0264
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	152789447	152801429	38	-0.3945
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	152804279	157508748	2490	0.0201
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	157512664	157513157	2	-1.5598
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	157513483	161647657	2768	0.0184
e960c3e6-e344-47b5-b1fa-0aaf0d153b88	1	161648901	161649268	7	0.759
