Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	1	3218610	58894171	29958	0.0036
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	1	58898102	58908145	6	-2.3807
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	1	58908425	247813706	97929	-0.003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	2	484222	242476062	130079	-0.0028
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	3	2212571	197538677	105409	-3e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	4	1053934	188763651	101891	-0.0041
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	5	914233	180360469	99586	-0.0065
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	6	1014281	170903919	95614	-0.0055
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	7	705284	158385118	80655	-0.012
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	8	617667	145232496	80810	-0.0067
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	9	789932	140938752	67355	-5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	10	415240	11105845	7380	-0.0041
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	10	11107680	11110195	23	-0.7712
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	10	11111612	135225087	72673	-0.0071
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	11	456120	134142530	76453	-0.0045
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	12	889902	103937990	57224	-0.0031
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	12	103938682	103938827	2	-4.6003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	12	103940031	133161346	16009	0.0027
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	13	19450806	114987458	56112	-0.0082
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	14	20501368	105988038	48958	-0.0048
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	15	23687685	101884307	44114	0.0011
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	16	653459	26938116	12219	0.0054
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	16	26938274	27034474	106	0.4417
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	16	27040683	52616002	5142	0.0061
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	16	52618092	52618113	2	-4.439
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	16	52619022	89379936	22915	-0.0038
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	17	987221	80917016	36672	0.0023
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	18	329586	77109240	42219	0.003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	19	284018	58878226	23736	-0.001
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	20	455764	62219837	36885	-0.0042
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	21	15347621	47678774	20396	-0.007
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	22	17423930	49331012	16720	0.0017
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	3157107	14094967	4068	-0.0033
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	14095546	14096638	3	-4.6993
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	14096730	93596095	31355	-0.0084
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	93602043	93602075	2	-5.0123
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	93602098	115395783	9629	-0.0026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	115395980	115397111	2	-5.6885
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	115398696	151389153	17040	-0.0137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	151389448	151389653	2	-5.9221
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A06_730656	X	151391292	154905589	549	-0.0628
