Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	3208470	7247055	2537	-0.0057
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	7247546	7248007	3	-1.0365
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	7248788	11378974	2038	-0.0024
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	11379123	11931736	299	0.2514
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	11932999	199809025	94254	-0.0057
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	199809242	199811449	2	-3.2169
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	1	199811454	245880329	29669	-0.0105
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	2	474222	2770543	813	-0.0035
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	2	2771467	2771974	2	-2.1241
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	2	2773107	242124735	130163	-0.0043
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	526235	53734429	29309	-0.2841
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	53734761	57001884	2403	-0.0101
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	57006509	57006856	2	-2.1279
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	57007281	71036889	8794	-0.0062
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	71037876	71038036	2	-1.944
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	71039629	114753110	20922	-0.0067
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	114753642	114753680	2	-1.8103
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	114753930	136031565	12464	-0.0073
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	136033117	136033267	2	-2.9764
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	136034034	189676811	27652	-0.0101
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	189678240	189682173	6	-1.1645
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	3	189685244	199023074	4587	-6e-04
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E11_729464	4	1043934	99971252	54478	-0.0132
