GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	62920	462894	19	0.215
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	599171	2916767	543	-0.2673
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	2917178	15680805	7695	-0.3929
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	15681259	16679483	421	-0.3326
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	16685961	16719082	5	0.595
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	16719266	16864367	20	-0.3501
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	16868660	16935752	53	0.2191
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	16949746	25256850	5260	-0.4013
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	25266637	25319167	20	-2.6416
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	25319693	25336819	5	-1.2225
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	25336853	34190783	4613	-0.3855
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	34191211	34191702	2	-2.0045
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	34196051	47599666	7526	-0.3865
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	47605484	47605505	2	-2.0086
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	47605676	72284670	16577	-0.3913
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	72290430	72297687	9	-1.6653
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	72302735	72345465	48	0.946
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	72346221	90454724	11838	-0.3965
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	90454887	90489434	33	0.1319
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	90489448	93982177	1994	-0.3835
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	93984184	94526882	377	0.0815
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	94534761	107259352	7917	-0.3944
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	107262070	108183838	744	0.0943
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	108186662	108311187	28	0.3294
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	108311544	109664699	665	0.0677
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	109676386	109684893	7	-0.5169
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	109690352	109697556	13	-1.4943
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	109702376	110833598	836	0.0635
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	110834746	110845604	39	-0.8207
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	110849445	112147704	1076	0.0611
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	112153343	112154768	25	0.7128
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	112163334	143494500	5165	0.082
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	143541857	143942271	126	0.4629
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	144432083	152583051	2316	0.1127
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	152583230	152613762	31	-2.2116
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	152613802	158896783	3822	0.0757
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	158898711	158899969	2	1.6166
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	158905028	169247699	7669	0.0956
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	169264736	169268642	3	-3.8593
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	169269320	169272528	4	-1.4597
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	169273163	196769851	18194	0.0929
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	196770842	196843377	50	0.4129
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	196843400	196846661	2	2.1175
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	196847600	199138574	1375	0.0949
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	199142235	199144712	9	-0.8202
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	199145110	209897717	7404	0.0936
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	209908268	209910639	3	-2.7017
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	209913207	222847162	8948	0.0949
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	222849581	222850262	2	-3.0001
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	222850427	248546369	17908	0.0926
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	248550567	248633912	35	-0.7507
c816f1b5-a581-4c20-9ca3-1e69eca03be6	1	248645563	248930189	140	0.2116
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	12784	34466002	24092	0.0838
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	34474248	34511990	46	-0.2642
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	34512096	36108463	1153	0.0748
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	36109476	36112411	13	-0.895
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	36123960	52516787	11842	0.0785
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	52527330	52554188	33	0.7016
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	52554236	105770408	29020	0.0821
c816f1b5-a581-4c20-9ca3-1e69eca03be6	2	105772455	105774881	6	-1.1109
