Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	51598	88451	16	-0.8881
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	88465	13247932	6555	0.0126
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	13247988	13248555	3	-1.068
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	13248604	16889467	2209	0.0178
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	16889665	17134282	100	0.3898
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	17134384	25455928	5275	0.0097
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	25465715	25535897	32	0.6583
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	25535931	72541504	28759	0.0165
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	72541524	72583736	45	0.8061
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	72584492	105820728	21037	0.0231
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	105820759	105823898	16	0.725
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	105825578	110029038	2672	0.0375
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	110034497	110044476	18	0.5995
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	110046521	112491849	1954	0.0418
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	112497488	112498764	23	-1.8179
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	112498899	114633488	1329	0.0258
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	114635149	114635233	2	-1.745
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	114635325	154812344	8909	0.0328
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	154814788	154816878	3	-1.1889
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	154817592	157226199	1730	0.0104
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	157228663	157229420	2	-4.0521
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	157233488	167483561	7648	0.0275
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	167500598	167508390	7	-2.5594
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	167509025	173063179	3523	0.0229
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	173063322	173068463	15	-0.556
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	173068477	186239277	8840	0.0272
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B02_734966	1	186244710	186266217	14	0.6525
