Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	1	3208470	245880329	129013	5e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	2	474222	242124735	131225	0.0065
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	3	526235	199023074	106326	0
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	4	1043934	93339145	50971	6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	4	93343636	93558292	100	0.5662
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	4	93587883	189836143	51600	0
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	5	967233	180293075	100446	-0.001
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	6	959281	170745844	96421	-0.0012
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	7	671810	158077879	81274	0.0024
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	8	607667	145304484	81482	-0.0021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	9	779932	124330818	59878	0.0049
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	9	124330944	124331137	2	-1.912
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	9	124331252	140058573	8092	0.0109
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	10	405240	135075077	80820	0.0058
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	11	446120	133647740	77221	6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	12	760163	131671419	73906	-9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	13	18348806	114005560	56615	-9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	14	19571208	105059083	49408	-7e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	15	21238778	99701830	44497	6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	16	593460	87907437	40842	9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	17	933971	78510305	36976	0.0041
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	18	319586	75210228	42633	-0.0064
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	19	235018	63570038	23943	-0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	20	403764	61690281	37263	0.0026
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	21	14269492	46503202	20573	-0.001
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	22	15803930	47717016	16918	0.0061
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B07_734840	X	3167107	154558783	63620	0.0048
