Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	3218610	47225484	23156	0.0058
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	47225886	47226045	2	-1.5999
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	47230163	198290062	74109	0.0042
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	198291935	198292201	2	-1.5284
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	198297850	247813706	31878	0.0038
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	484222	52599968	30817	0.0048
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	52659636	52699456	24	-1.0872
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	52700268	53821672	675	2e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	53822354	53826018	2	-1.5451
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	53826209	166778183	56168	0.003
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	166781188	166781569	2	-1.7562
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	166788620	242476062	43603	0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	2212571	34582867	19244	-0.091
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	34585358	34585712	2	-1.5956
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	34587868	36448067	1148	-0.0986
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	36451990	36452364	2	-1.7139
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	36453239	68869951	18681	-0.0943
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	68870181	68870215	2	-1.5669
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	68872978	117871691	25468	-0.0393
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	117871884	117872602	4	-1.1287
