Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	61735	752566	45	0.4167
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	757469	7326201	3455	0.0511
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	7326520	7326675	2	-1.952
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	7331327	10543836	1781	0.0414
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	10544547	10545046	4	-1.3195
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	10548862	12354307	952	0.038
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	12355487	12355503	2	-1.3012
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	12357088	12831481	257	0.0382
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	12834253	13709915	92	0.3679
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	13715453	72768418	36313	0.054
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	72768498	72816755	50	0.4051
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	72817021	83812787	7072	0.0615
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	83815304	83825590	5	0.9953
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	83828273	84073892	154	0.0425
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	84074248	84076789	2	1.8742
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	84084124	106013376	13726	0.059
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	106019205	106022375	17	0.7981
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	106024055	111377368	3516	0.0625
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	111377565	111388226	38	-0.7796
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	111392067	114831965	2422	0.0479
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	114833626	114833710	2	-1.5697
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	114833802	145151728	4052	0.0744
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	145151959	145152757	5	1.2133
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	145156301	146648115	343	0.0611
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	146649021	146649133	5	-1.1888
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	146654339	149036524	630	0.0714
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	149040066	149273545	134	-0.6253
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	149274654	149521840	30	-0.0591
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	149521846	149664041	13	0.7954
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	149676317	152539585	1450	0.0314
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152540087	152547901	6	0.6
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152547937	152560868	26	0.107
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152560883	152590565	27	0.437
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152590663	152762046	172	-0.0017
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152762257	152773905	33	0.4234
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	152776755	189648157	24699	0.0554
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	189648483	189648527	2	-1.7107
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	189652047	196714822	4723	0.0623
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	196714873	196791043	71	0.4652
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	1	196798565	249224388	35861	0.0582
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	12784	23465144	17248	0.0535
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	23466866	23473557	7	-0.8065
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	23475786	35975973	7718	0.0501
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	35977790	35987916	6	-1.66
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	35987947	146862085	65645	0.055
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	146864404	146866934	24	0.6803
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	146877806	169135148	13225	0.052
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	169137499	169145541	6	-0.9079
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	169145867	180418333	7235	0.0591
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	180418388	180421854	23	-1.0509
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	180421869	242783396	38389	0.0523
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	242915466	242943283	32	-1.1101
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	2	242953866	243089456	110	0.0648
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	60345	11412604	9538	-0.4465
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	11412823	11413400	3	-2.9243
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	11417265	21615806	6583	-0.4433
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	21616429	21616507	2	-2.4036
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	21616735	26611885	3868	-0.4454
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	26611898	26614985	16	0.1545
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	26615949	46793377	13122	-0.4494
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	46801817	46859479	41	-1.7647
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	46859832	65199702	12080	-0.4482
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	65199867	65206944	13	0.141
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	65207331	71953090	4829	-0.4558
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	71955940	71956442	2	1.0037
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	71956808	75462816	2480	-0.4492
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C08_1377446	3	75462896	75788459	102	-0.0937
