GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5c591356-256f-44ce-afe7-081166ae4234	1	62920	266187	17	-0.4248
5c591356-256f-44ce-afe7-081166ae4234	1	462795	825988	18	0.5211
5c591356-256f-44ce-afe7-081166ae4234	1	826738	15823420	8284	-0.0063
5c591356-256f-44ce-afe7-081166ae4234	1	15827002	15827430	6	-1.9852
5c591356-256f-44ce-afe7-081166ae4234	1	15827706	109684893	58047	0.0004
5c591356-256f-44ce-afe7-081166ae4234	1	109690352	109702376	14	-0.8574
5c591356-256f-44ce-afe7-081166ae4234	1	109703504	143541857	7134	0.0008
5c591356-256f-44ce-afe7-081166ae4234	1	143545399	143927536	122	-0.726
5c591356-256f-44ce-afe7-081166ae4234	1	143927887	152583051	2315	-0.0151
5c591356-256f-44ce-afe7-081166ae4234	1	152583230	152614064	33	-1.7785
5c591356-256f-44ce-afe7-081166ae4234	1	152614100	248930189	65501	-0.001
5c591356-256f-44ce-afe7-081166ae4234	2	12784	24024644	17728	0.0008
5c591356-256f-44ce-afe7-081166ae4234	2	24024758	25358359	692	-0.1417
5c591356-256f-44ce-afe7-081166ae4234	2	25360466	52516787	18688	-0.0012
5c591356-256f-44ce-afe7-081166ae4234	2	52527330	52527743	7	-1.3237
5c591356-256f-44ce-afe7-081166ae4234	2	52531615	52554404	33	-0.4493
5c591356-256f-44ce-afe7-081166ae4234	2	52560811	97359885	23827	0.0008
5c591356-256f-44ce-afe7-081166ae4234	2	97524284	97545247	8	-0.9979
5c591356-256f-44ce-afe7-081166ae4234	2	97545726	107559305	6399	0.0118
5c591356-256f-44ce-afe7-081166ae4234	2	107560597	107560637	2	-1.3175
5c591356-256f-44ce-afe7-081166ae4234	2	107564387	122719438	8661	0.0072
5c591356-256f-44ce-afe7-081166ae4234	2	122722323	122724665	8	-0.8773
5c591356-256f-44ce-afe7-081166ae4234	2	122726077	139991873	10542	-0.0021
5c591356-256f-44ce-afe7-081166ae4234	2	139992399	140005918	12	-0.477
5c591356-256f-44ce-afe7-081166ae4234	2	140013559	154033296	8668	-0.0015
