Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	1	3218610	247813706	129066	8e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	2	484222	57688326	33436	0.0076
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	2	57688425	57688531	2	-1.5228
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	2	57689957	242476062	97779	0.0056
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	3	2212571	197538677	106322	-9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	1053934	37516824	22461	-0.0062
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	37518563	37519144	3	-1.2189
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	37519573	68102416	14659	-0.0015
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	68104490	68118385	10	-1.0188
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	68123903	159986507	50593	-0.0018
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	159988006	159997375	6	-1.128
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	4	159998288	188763651	14945	1e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	914233	151578924	82790	-0.0047
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	151582812	151583410	4	-1.0299
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	151585127	153844803	1487	-0.0162
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	153844993	153845063	2	-1.3536
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	153856487	175362475	14143	-0.0053
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	175367879	175372411	2	-1.524
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	5	175672030	180360469	2020	-2e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	6	1014281	170903919	96449	-0.0024
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	7	705284	158385118	81282	0.0028
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	8	617667	140398533	80072	-6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	8	140402129	140409347	2	-1.6197
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	8	140409960	145232496	1421	-0.005
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	9	789932	140938752	67989	0.0032
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	10	415240	135225087	80809	0.0019
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	11	456120	20603573	12812	0.0023
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	11	20604840	20605983	4	-1.2026
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	11	20606457	134142530	64399	0.0017
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	12	889902	103071156	57173	8e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	12	103073093	103100313	22	0.5481
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	12	103101160	133161346	16709	0
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	13	19450806	90983846	41066	0.0028
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	13	90984658	90995205	4	1.1487
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	13	90995610	114987458	15546	0.0023
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	14	20501368	81852849	34885	0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	14	81853113	81853258	2	-1.6877
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	14	81853291	105988038	14517	-6e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	15	23687685	101884307	44499	0.0025
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	16	653459	75225022	31128	-0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	16	75227969	75227983	2	1.384
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	16	75229629	89379936	9646	0.0018
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	17	987221	80917016	36979	0.0028
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	18	329586	51911820	28798	0.0071
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	18	51911827	51912135	2	-1.3676
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	18	51913142	77109240	13829	0.009
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	19	284018	58878226	23939	-0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	20	455764	62219837	37263	0.005
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	21	15347621	47678774	20571	-0.0011
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	22	17423930	49331012	16916	0.0037
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F01_734906	X	3157107	154905589	63691	0.0046
