Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	61735	17005734	8749	-0.0044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	17005776	17036888	30	-0.4533
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	17037097	17094027	17	-0.0411
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	17094066	17190862	15	0.2948
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	17195155	17262232	60	-0.5312
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	17262247	35091674	10252	-0.0043
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	35102654	35114268	21	-0.5837
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	35115542	72750353	23834	0.0093
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	72756113	72763370	9	-0.7743
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	72768418	72817021	52	0.293
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	72818599	104163787	20066	0.0072
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	104178038	104303403	26	-0.3612
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	104303501	110227500	3601	0.0043
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	110227515	110240155	17	-0.5284
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	110240178	111359935	825	0.0024
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	111360545	111380020	36	0.3154
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B05_777018	1	111382479	112690326	1096	0.0126
