GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21547508-1ae9-4a87-b52b-ca6369037ed4	1	62920	86341	11	0.734
21547508-1ae9-4a87-b52b-ca6369037ed4	1	98588	15823420	8319	0.0002
21547508-1ae9-4a87-b52b-ca6369037ed4	1	15827002	15827430	6	1.0583
21547508-1ae9-4a87-b52b-ca6369037ed4	1	15827706	16679483	335	0.0031
21547508-1ae9-4a87-b52b-ca6369037ed4	1	16685961	16787932	21	-0.5772
21547508-1ae9-4a87-b52b-ca6369037ed4	1	16788139	34637053	10294	0.0038
21547508-1ae9-4a87-b52b-ca6369037ed4	1	34637069	34638890	19	-0.5282
21547508-1ae9-4a87-b52b-ca6369037ed4	1	34648667	67525427	20795	0.0006
21547508-1ae9-4a87-b52b-ca6369037ed4	1	67526399	67527394	3	-1.1671
21547508-1ae9-4a87-b52b-ca6369037ed4	1	67528099	72303233	2967	0.0016
21547508-1ae9-4a87-b52b-ca6369037ed4	1	72303253	72339279	33	-0.6674
21547508-1ae9-4a87-b52b-ca6369037ed4	1	72339814	75585159	1944	-0.0005
21547508-1ae9-4a87-b52b-ca6369037ed4	1	75589078	75589169	2	-3.5617
21547508-1ae9-4a87-b52b-ca6369037ed4	1	75593824	102206536	17347	0.0063
21547508-1ae9-4a87-b52b-ca6369037ed4	1	102213050	102383702	144	0.1483
21547508-1ae9-4a87-b52b-ca6369037ed4	1	102384232	102574918	113	0.0012
21547508-1ae9-4a87-b52b-ca6369037ed4	1	102579966	102580099	3	1.2357
21547508-1ae9-4a87-b52b-ca6369037ed4	1	102585861	105175839	1237	0.0055
21547508-1ae9-4a87-b52b-ca6369037ed4	1	105178341	105178365	2	-1.5735
21547508-1ae9-4a87-b52b-ca6369037ed4	1	105183151	105470754	173	-0.0248
21547508-1ae9-4a87-b52b-ca6369037ed4	1	105476583	105481433	18	1.0679
21547508-1ae9-4a87-b52b-ca6369037ed4	1	105481448	112147704	4597	0.0156
21547508-1ae9-4a87-b52b-ca6369037ed4	1	112153343	112153465	2	-1.7991
21547508-1ae9-4a87-b52b-ca6369037ed4	1	112153571	143927887	5309	0.0067
21547508-1ae9-4a87-b52b-ca6369037ed4	1	143928045	143942271	2	-2.0105
21547508-1ae9-4a87-b52b-ca6369037ed4	1	144432083	152583051	2314	0.0002
21547508-1ae9-4a87-b52b-ca6369037ed4	1	152583230	152614118	35	-2.2304
21547508-1ae9-4a87-b52b-ca6369037ed4	1	152618018	152787202	166	-0.0109
21547508-1ae9-4a87-b52b-ca6369037ed4	1	152789447	152796224	37	0.6955
21547508-1ae9-4a87-b52b-ca6369037ed4	1	152801429	196745743	29462	0.0107
21547508-1ae9-4a87-b52b-ca6369037ed4	1	196758720	196859808	72	0.3476
21547508-1ae9-4a87-b52b-ca6369037ed4	1	196862194	199138574	1364	0.0095
21547508-1ae9-4a87-b52b-ca6369037ed4	1	199142235	199144712	9	-0.9538
21547508-1ae9-4a87-b52b-ca6369037ed4	1	199145110	200315206	835	0.0145
21547508-1ae9-4a87-b52b-ca6369037ed4	1	200316050	200317357	7	-1.117
21547508-1ae9-4a87-b52b-ca6369037ed4	1	200320149	212831113	8510	0.0064
21547508-1ae9-4a87-b52b-ca6369037ed4	1	212831670	212832002	5	-1.2507
21547508-1ae9-4a87-b52b-ca6369037ed4	1	212833055	225801413	8815	0.0024
21547508-1ae9-4a87-b52b-ca6369037ed4	1	225802670	225806853	4	-1.0928
