Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	1	3208470	224413975	115353	0.0015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	1	224419459	224420277	3	-1.6011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	1	224421186	245880329	13747	1e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	2	474222	242124735	131321	6e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	3	526235	199023074	106402	0.0052
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	4	1043934	56330452	30796	0.0035
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	4	56330641	56331353	2	-1.6459
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	4	56332156	119993516	34995	0.0053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	4	119999694	120000081	3	-1.261
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	4	120000786	189836143	36955	0.0049
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	5	967233	180293075	100518	0.002
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	6	959281	170745844	96494	0.0014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	7	671810	20512355	9744	0.0063
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	7	20516081	20519243	2	-1.6408
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	7	20519346	158077879	71598	0.0034
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	8	607667	145304484	81538	0.0051
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	9	779932	140058573	68021	-1e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	10	405240	135075077	80881	-0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	446120	15985251	9583	-0.0022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	15985670	15987102	4	-1.1034
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	15989680	105845211	48917	0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	105845891	105846590	5	-1.452
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	105851392	108645377	1531	0.0079
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	108646204	108661168	3	1.1101
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	108661690	117329802	5981	4e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	117331062	117343150	6	-0.954
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	11	117345362	133647740	11247	-9e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	12	760163	24285021	13720	0.0047
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	12	24286469	24286539	3	-1.4953
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	12	24288211	131671419	60235	0.0023
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	13	18348806	106180636	51910	0.0024
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	13	106182239	106182711	2	-1.7074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	13	106183236	114005560	4751	0.0074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	14	19571208	105059083	49454	0.0038
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	15	21238778	99701830	44535	-0.0031
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	16	593460	87907437	40863	-7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	17	933971	78510305	36993	-3e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	18	319586	65437757	37977	-0.0129
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	18	65437883	65438009	3	-1.4238
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	18	65439626	75210228	4698	-0.0146
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	19	235018	63570038	23955	-0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	20	403764	61690281	37285	0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	21	14269492	46503202	20587	-6e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	22	15803930	47717016	16934	0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	X	3167107	125358350	50795	0.0129
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	X	125361957	125362071	2	-4.2761
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G07_697738	X	125362127	154558783	12792	0.0119
