GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
510fa16d-2739-4597-a4f0-72888651084b	1	62920	969227	67	-0.1218
510fa16d-2739-4597-a4f0-72888651084b	1	983193	2843676	472	0.1963
510fa16d-2739-4597-a4f0-72888651084b	1	2844810	3164376	132	0.5782
510fa16d-2739-4597-a4f0-72888651084b	1	3172922	3301765	64	0.2641
510fa16d-2739-4597-a4f0-72888651084b	1	3302046	16766922	7928	0.0667
510fa16d-2739-4597-a4f0-72888651084b	1	16767520	16788139	11	-0.6736
510fa16d-2739-4597-a4f0-72888651084b	1	16855942	26831853	5981	0.0577
510fa16d-2739-4597-a4f0-72888651084b	1	26837815	27378398	200	0.4338
510fa16d-2739-4597-a4f0-72888651084b	1	27381792	29366567	836	-0.0034
510fa16d-2739-4597-a4f0-72888651084b	1	29366748	47645079	10448	0.0561
510fa16d-2739-4597-a4f0-72888651084b	1	47645259	47645825	2	-2.3299
510fa16d-2739-4597-a4f0-72888651084b	1	47648126	68992082	14526	0.0417
510fa16d-2739-4597-a4f0-72888651084b	1	68995852	72284670	1952	0.0007
510fa16d-2739-4597-a4f0-72888651084b	1	72290430	72297687	9	-1.0442
510fa16d-2739-4597-a4f0-72888651084b	1	72302735	105470754	20913	0.0094
510fa16d-2739-4597-a4f0-72888651084b	1	105476583	105479753	17	0.8733
510fa16d-2739-4597-a4f0-72888651084b	1	105481433	109690352	2626	0.0236
510fa16d-2739-4597-a4f0-72888651084b	1	109690431	109697533	10	1.9085
510fa16d-2739-4597-a4f0-72888651084b	1	109697556	152583230	9524	0.0331
510fa16d-2739-4597-a4f0-72888651084b	1	152583291	152614118	34	-1.6817
510fa16d-2739-4597-a4f0-72888651084b	1	152618018	152787202	167	0.0532
510fa16d-2739-4597-a4f0-72888651084b	1	152789447	152796224	37	-1.5628
510fa16d-2739-4597-a4f0-72888651084b	1	152801429	174827267	14723	0.0283
510fa16d-2739-4597-a4f0-72888651084b	1	174827418	174828549	14	-0.8888
510fa16d-2739-4597-a4f0-72888651084b	1	174832599	186948388	8075	0.0328
510fa16d-2739-4597-a4f0-72888651084b	1	186948836	196005660	6046	-0.0284
510fa16d-2739-4597-a4f0-72888651084b	1	196006438	203687102	4918	0.022
510fa16d-2739-4597-a4f0-72888651084b	1	203687846	204545009	626	2.9292
510fa16d-2739-4597-a4f0-72888651084b	1	204545087	204545575	9	4.6039
510fa16d-2739-4597-a4f0-72888651084b	1	204545735	204844061	226	2.8604
510fa16d-2739-4597-a4f0-72888651084b	1	204848845	248930189	30417	0.0285
510fa16d-2739-4597-a4f0-72888651084b	2	12784	34466002	24001	0.0286
510fa16d-2739-4597-a4f0-72888651084b	2	34474248	34497960	34	0.5311
510fa16d-2739-4597-a4f0-72888651084b	2	34498023	40703761	4530	0.012
510fa16d-2739-4597-a4f0-72888651084b	2	40703775	40717627	20	-0.711
510fa16d-2739-4597-a4f0-72888651084b	2	40720132	52527330	8397	0.0298
510fa16d-2739-4597-a4f0-72888651084b	2	52527342	52554384	38	-0.8753
510fa16d-2739-4597-a4f0-72888651084b	2	52554404	52921655	325	0.0761
510fa16d-2739-4597-a4f0-72888651084b	2	52925235	52968414	25	-0.8488
510fa16d-2739-4597-a4f0-72888651084b	2	52976154	146106875	52714	0.0159
510fa16d-2739-4597-a4f0-72888651084b	2	146106889	146109366	21	-2.2602
510fa16d-2739-4597-a4f0-72888651084b	2	146120238	179548644	20423	0.0147
510fa16d-2739-4597-a4f0-72888651084b	2	179553484	179557127	25	-0.9749
510fa16d-2739-4597-a4f0-72888651084b	2	179557142	212316597	19419	0
510fa16d-2739-4597-a4f0-72888651084b	2	212321824	212327101	25	-0.8475
510fa16d-2739-4597-a4f0-72888651084b	2	212327402	232371275	12743	0.0233
510fa16d-2739-4597-a4f0-72888651084b	2	232372012	232377689	21	0.6165
510fa16d-2739-4597-a4f0-72888651084b	2	232378051	238839679	4420	0.0296
510fa16d-2739-4597-a4f0-72888651084b	2	238842563	239102564	119	0.2545
510fa16d-2739-4597-a4f0-72888651084b	2	239102958	242147305	1649	0.0574
510fa16d-2739-4597-a4f0-72888651084b	3	20930	6604856	5796	0.0177
510fa16d-2739-4597-a4f0-72888651084b	3	6609441	6613561	25	-0.8198
510fa16d-2739-4597-a4f0-72888651084b	3	6613684	7626641	886	0.0089
510fa16d-2739-4597-a4f0-72888651084b	3	7631555	14571317	5087	0.0567
510fa16d-2739-4597-a4f0-72888651084b	3	14571869	34979007	13730	0.0078
510fa16d-2739-4597-a4f0-72888651084b	3	34980339	35078240	61	-0.8772
510fa16d-2739-4597-a4f0-72888651084b	3	35081584	36043105	659	-0.0298
510fa16d-2739-4597-a4f0-72888651084b	3	36043561	79939325	28771	0.0243
510fa16d-2739-4597-a4f0-72888651084b	3	79939701	84053071	2181	-0.0229
510fa16d-2739-4597-a4f0-72888651084b	3	84056282	84057015	2	-4.2139
510fa16d-2739-4597-a4f0-72888651084b	3	84061816	111524367	13625	-0.0104
510fa16d-2739-4597-a4f0-72888651084b	3	111524663	111527735	3	-2.1133
510fa16d-2739-4597-a4f0-72888651084b	3	111530468	162405578	31290	0.0162
510fa16d-2739-4597-a4f0-72888651084b	3	162419812	162424917	14	-1.3908
510fa16d-2739-4597-a4f0-72888651084b	3	162426460	162795304	260	0.0024
510fa16d-2739-4597-a4f0-72888651084b	3	162795361	162908784	68	0.8492
510fa16d-2739-4597-a4f0-72888651084b	3	162908815	165341586	1336	-0.0374
510fa16d-2739-4597-a4f0-72888651084b	3	165341597	165344686	12	-0.8645
510fa16d-2739-4597-a4f0-72888651084b	3	165344699	179802890	9097	-0.0109
510fa16d-2739-4597-a4f0-72888651084b	3	179803138	193038821	8552	0.0323
510fa16d-2739-4597-a4f0-72888651084b	3	193038916	193160256	95	-0.0841
510fa16d-2739-4597-a4f0-72888651084b	3	193160406	193165114	17	-1.3085
510fa16d-2739-4597-a4f0-72888651084b	3	193168646	195702853	1491	0.04
510fa16d-2739-4597-a4f0-72888651084b	3	195703252	195896930	84	0.3128
510fa16d-2739-4597-a4f0-72888651084b	3	195900795	198169247	1113	0.0206
510fa16d-2739-4597-a4f0-72888651084b	4	68929	121235	36	0.5139
510fa16d-2739-4597-a4f0-72888651084b	4	121682	10208766	5638	0.0459
510fa16d-2739-4597-a4f0-72888651084b	4	10221792	10229874	25	2.5848
510fa16d-2739-4597-a4f0-72888651084b	4	10232590	49656595	25910	0.0082
510fa16d-2739-4597-a4f0-72888651084b	4	51819533	54241451	1451	0.9463
510fa16d-2739-4597-a4f0-72888651084b	4	54249536	54274708	47	0.6398
