GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	62920	1696979	212	0.027
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	1710664	1731957	10	0.8698
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	1732392	12779433	6268	0.0429
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	12792599	12822696	23	-0.4875
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	12823233	16864367	2189	0.0456
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	16868660	16935752	53	-0.4955
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	16949746	30450214	7821	0.0406
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	30450324	30450576	2	-1.2702
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	30450939	34625993	2410	0.045
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	34626037	34638890	22	-0.5112
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	34648667	54559189	10993	0.0333
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	54564857	54628716	43	0.584
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	54630777	72284670	12716	0.0345
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	72290430	72297687	9	-0.6158
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	72302735	72345465	48	1.3246
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	72346221	105470754	20958	0.0209
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	105476583	105479753	17	0.8007
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	105481433	109028555	2343	0.028
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	109031904	109032025	2	-1.3217
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	109061619	109690352	291	0.0345
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	109690415	109697556	12	1.2023
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	109702376	110834943	837	0.0382
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	110834946	110845604	37	-0.508
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	110849445	112147704	1074	0.0501
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	112153343	112163576	35	0.2965
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	112163583	121593055	5146	0.0299
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	121593930	150034478	1109	0.102
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	150036711	152583230	1336	0.0366
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	152583291	152613762	30	1.8669
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	152613802	152789447	172	0.0538
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	152789463	152796224	36	-1.4579
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	152801429	160176704	4458	0.0321
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	160176855	160178881	4	-0.8606
e7d89bbf-16c8-4155-820b-4e800b3741d2	1	160181084	161647612	803	0.0354
