Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	3218610	185590636	89995	0.0013
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	185591232	185603787	12	0.6387
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	185605688	188223086	1654	0.0046
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	188226229	188228976	2	-1.3574
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	188235090	220087703	20085	4e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	220088047	220113200	18	0.6166
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	220117850	244313495	15863	-0.0018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	244315918	244316996	4	-0.9011
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	1	244318285	247813706	1512	0.0159
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	484222	167105531	87909	-5e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	167105772	167106928	3	-2.4477
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	167109391	178285811	7091	-0.0028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	178286490	178286706	3	-1.1944
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	178289022	190320083	6074	0.0063
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	190321151	190323376	3	-1.2399
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	190323937	215044235	13495	2e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	215046533	215135682	48	0.5672
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	2	215137415	242476062	16674	-0.0054
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	3	2212571	68890638	39104	-0.001
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	3	68895125	68895162	2	-1.7999
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	3	68897036	197538677	67273	4e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	1053934	65293827	35457	0.0047
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	65302265	65640223	189	0.5864
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	65642106	144140354	43377	0.0023
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	144140597	144141880	3	-1.1564
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	144149349	158783322	8090	-0.0011
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	158786983	158787102	2	-1.7097
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	158788057	174052015	8254	0.0019
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	174061455	174061857	2	-1.2356
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	4	174062119	188763651	7376	-0.0024
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	5	914233	4012303	1930	0.0109
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	5	4012694	4012700	2	-1.4968
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	5	4013641	63325318	31778	0.0119
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	5	63328721	63331109	5	-1.1521
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	5	63339166	180360469	66803	0.0115
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	6	1014281	170903919	96509	-0.0017
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	7	705284	157210221	80827	0.0175
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	7	157213303	157213601	2	-1.9654
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388	7	157217055	158385118	502	0.0262
