Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	1	3218610	247813706	129127	0.0188
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	2	484222	242476062	131261	0.0036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	3	2212571	130122301	71273	-0.0611
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	3	130124270	130124725	2	-1.4487
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	3	130124989	148274505	9645	0.0018
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	3	148286006	148286193	2	-2.2022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	3	148286353	197538677	25447	2e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	4	1053934	12067310	6217	0.0171
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	4	12068433	12070349	2	-1.3752
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	4	12072683	60018158	26515	0.0101
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	4	60021322	60026661	7	-0.8145
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	4	60029849	188763651	69993	-0.011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	5	914233	157393543	86555	0.0982
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	5	157399050	157399899	3	-1.3161
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	5	157401895	180360469	13945	0.1027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	6	1014281	170903919	96479	0.0057
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	7	705284	24035127	12193	0.0058
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	7	24039878	24040383	2	1.4297
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	7	24040817	158385118	69139	0.0034
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	8	617667	109112578	59587	2e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	8	109114301	109115072	2	-1.6463
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	8	109122676	145232496	21932	0.0757
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	9	789932	140938752	68012	-0.0739
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	10	415240	135225087	80853	-0.0144
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	11	456120	134142530	77237	0.0031
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	12	889902	60519377	31209	0.0276
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	12	60523232	60525112	2	-1.7778
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	12	60530957	133161346	42737	0.0259
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	13	19450806	114987458	56648	-0.0087
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	14	20501368	105988038	49434	-0.0502
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	15	23687685	53878432	15802	-0.0657
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	15	53879241	53880104	4	-1.2441
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	15	53884341	101884307	28713	-0.0614
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	16	653459	89379936	40793	0.0325
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	17	987221	12617106	6402	0.0112
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	17	12617701	12618253	3	-1.2532
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	17	12619794	80917016	30577	0.0135
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	18	329586	77109240	42659	-0.0543
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	284018	13698716	4817	0.0058
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	13704512	13712314	2	-1.2021
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	13712366	21710955	3075	0.0089
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	21717303	21721674	2	-1.9057
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	21722305	35670087	6237	0.0172
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	35670134	35670599	7	-1.1197
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	19	35673333	58878226	9803	0.0075
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	20	455764	18686011	11935	0.013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	20	18688720	18689690	2	-1.3195
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	20	18690104	62219837	25339	0.0195
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	21	15347621	25585384	6191	-0.0032
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	21	25588249	25588339	3	-1.8048
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	21	25588956	47678774	14382	-1e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	22	17423930	49154381	16820	0.0244
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	22	49155087	49156238	4	-1.1343
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	22	49157038	49331012	99	0.0213
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	3157107	12175845	2860	0.0085
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	12175875	12175929	3	2.2537
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	12176019	110360631	40523	0.0058
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	110361246	110361509	3	-2.5769
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	110361790	118081078	3683	0.009
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	118082388	118083845	3	-1.9908
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	118086257	118281538	130	0.0666
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	118283397	118607149	130	-0.235
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	118612048	121406280	1203	0.009
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D12_697756	X	121409183	121414329	7	-1.6084
