GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	62920	10310529	5162	0.0089
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	10310579	10311167	7	-1.5213
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	10311780	16518437	3463	-0.0001
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	16525019	16935752	113	0.438
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	16949746	94661145	48465	0.0038
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	94665122	94689855	62	-0.8895
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	94689990	105470132	6483	0.0079
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	105470754	105479753	18	-0.8067
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	105481433	109690352	2636	0.0164
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	109690415	109697533	11	1.0494
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	109697556	152583230	9577	0.0127
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	152583291	152613762	28	3.2753
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	152613802	152614118	4	1.1765
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	152618018	152787202	167	0.0193
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	152789447	152805967	40	0.8361
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	152806050	169265291	11276	0.0063
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	169268642	169272528	5	1.4399
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	169273163	194479104	16719	0.0065
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	194482281	194485888	2	2.0254
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	194487886	196761905	1454	0.0161
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	196762480	196832312	54	-0.3314
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	196832525	199142393	1383	-0.009
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	199142562	199143883	5	-1.5372
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	1	199144712	248930189	34437	0.0057
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	12784	106266773	66587	0.0085
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	106266875	106268901	7	-2.0055
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	106270799	113604438	3784	0.013
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	113604837	113604839	2	-1.7728
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	113623244	122873910	5837	0.0147
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	122874908	122875684	2	-2.9827
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	122879052	124390174	1052	-0.0131
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	124393146	124395253	2	-2.2651
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	124395963	129437919	3184	0.0187
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	129438526	129441652	10	-0.9048
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	129441961	146106875	9947	0.0092
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	146106889	146109366	21	1.092
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	146120238	235841299	55307	0.005
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	235842443	235845756	2	-2.5275
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	2	235846930	242147305	3751	0.0038
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	20930	269012	225	-0.0148
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	269064	2171032	1682	0.0693
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	2171191	25696742	17530	0.0129
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	25702977	25703869	2	-2.7794
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	25704534	46751887	13744	0.0097
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	46760327	46807689	39	-2.3761
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	46808099	68697013	14565	0.0092
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	68697108	68698213	13	-1.116
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	68698262	125993370	32279	0.0038
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	125993427	126003019	28	-0.8105
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	126003489	130067896	2338	-0.0007
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	130067910	130087393	28	0.856
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	130088081	154619219	15318	0.0045
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	154619246	154628206	2	-2.2984
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	154630599	162505655	4755	0.0041
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	162505687	162519340	17	0.5798
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	162519502	162795361	170	0.0285
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	162795671	162908207	66	-1.517
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	162908784	193160113	19167	0.0113
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	193160173	193165114	19	-1.2571
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	3	193168646	198169247	2691	0.0149
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	68929	63841863	39318	0.007
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	63841887	63842505	6	-1.1714
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	63842540	64954011	659	0.0271
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	64954249	64971333	32	-0.9438
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	64971339	68352434	2158	0.0186
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	68354665	68663241	93	0.5295
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	68671434	69523998	474	0.0799
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	69524143	69525061	2	-2.0817
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	69526170	121360818	31578	0.0048
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	121361313	121370367	30	-0.8538
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	121371000	150955254	17229	0.0016
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	150957105	150963148	21	-0.6608
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	150963154	160952454	6327	-0.0004
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	160952506	160963815	33	0.4428
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	160963825	171448195	6664	0.0092
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	171453733	171456559	10	1.792
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	171456573	172068073	402	0.0185
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	172068149	172068382	9	-2.0014
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	172074828	172501371	231	0.0172
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	172503796	172507492	7	1.0981
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	4	172519981	190106768	11835	0.0199
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	15532	685389	305	0.0311
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	685633	833513	48	0.4972
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	852451	17601444	13024	0.0088
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	17601619	17665232	23	-0.8968
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	17668126	20437136	1715	0.0263
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	20437452	20444193	18	-0.6566
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	20448382	111573675	51966	0.0097
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	111573806	111574957	4	-6.6882
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	111575348	140844251	18715	0.0046
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	140851936	140864171	12	-0.9586
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	140872578	150822643	6570	0.0028
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	150825938	150839042	8	-3.5129
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	150843825	177771448	18448	0.0104
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	177800550	177805604	3	2.3538
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	177827964	178418759	258	0.0044
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	178421428	178425581	7	-1.0033
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	178426531	180947523	1530	0.0303
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	180951710	181006264	21	0.8708
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	5	181015400	181363319	168	0.06
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	149661	29875657	21661	0.0034
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	29876257	29881490	7	-1.248
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	29882419	32634330	1226	0.0196
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	32634492	32658841	12	0.7171
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	32682835	32718419	36	-0.0799
5f1fe2f7-33d7-4908-815a-ab6b8e29a53b	6	32720838	32723053	11	1.6286
