GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	62920	259926	16	-0.2459
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	266187	462894	3	1.057
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	599171	965731	46	-0.0693
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	968658	5575256	2397	0.0839
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	5575326	16542868	6186	0.0395
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	16544783	16643897	29	-0.4457
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	16643961	22292849	3631	0.0471
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	22295796	22296873	4	-0.7243
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	22297370	25256850	1712	0.0568
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	25266637	25292440	16	-0.3527
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	25292549	34637053	4961	0.0522
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	34637069	34638890	19	-0.7746
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	34648667	52215762	9577	0.0523
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	52227676	54318188	1295	0.4085
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	54318824	72302815	12903	0.0693
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	72303233	72345465	46	-1.9059
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	72346221	90807447	12089	0.0734
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	90809223	90809777	2	-1.106
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	90809874	103616762	7938	0.0697
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	103620877	103717410	5	-1.306
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	103717617	105476583	920	0.0806
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	105476614	105481433	17	0.756
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	105481448	112147704	4599	0.0775
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	112153343	112154768	25	0.727
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	112163334	143748012	5259	0.0679
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	143748074	143760271	20	0.9237
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	143762042	152580550	2324	0.0715
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	152582700	152607349	30	0.5591
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	152613242	161509648	5468	0.0526
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	161532067	161680585	19	0.5738
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	161680704	169264736	6010	0.0648
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	169265291	169272528	6	-2.5034
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	169273163	180770888	7492	0.064
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	180779181	180786525	6	-0.8044
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	180788492	194479104	9232	0.0689
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	194482281	194485888	2	3.2055
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	194487886	196745743	1451	0.0722
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	196758720	196843400	60	-0.7
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	196846661	202598144	3688	0.0684
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	202598425	202598658	3	0.9235
737b096a-0ac4-4ad8-b7ae-9c80aad0a71e	1	202599414	209897717	5098	0.0658
