GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4db8d287-6202-4e60-9c15-79097aedecef	1	62920	668210	21	-0.5398
4db8d287-6202-4e60-9c15-79097aedecef	1	771719	1696979	191	0.0872
4db8d287-6202-4e60-9c15-79097aedecef	1	1710664	1720956	7	-0.8205
4db8d287-6202-4e60-9c15-79097aedecef	1	1731499	3463493	620	0.0892
4db8d287-6202-4e60-9c15-79097aedecef	1	3477686	72284165	41916	0.0017
4db8d287-6202-4e60-9c15-79097aedecef	1	72284670	72302815	12	-0.7968
4db8d287-6202-4e60-9c15-79097aedecef	1	72303233	72345465	46	0.9747
4db8d287-6202-4e60-9c15-79097aedecef	1	72346221	109690352	23600	0.0024
4db8d287-6202-4e60-9c15-79097aedecef	1	109690415	109702376	13	1.2563
4db8d287-6202-4e60-9c15-79097aedecef	1	109703504	112147704	1948	0.006
4db8d287-6202-4e60-9c15-79097aedecef	1	112153343	112154768	25	0.6024
4db8d287-6202-4e60-9c15-79097aedecef	1	112163334	143541857	5164	0.0037
4db8d287-6202-4e60-9c15-79097aedecef	1	143545399	143890323	119	-0.6152
4db8d287-6202-4e60-9c15-79097aedecef	1	143893019	152583230	2321	0.0305
4db8d287-6202-4e60-9c15-79097aedecef	1	152583291	152614118	34	1.1625
4db8d287-6202-4e60-9c15-79097aedecef	1	152618018	152787202	166	0.0008
4db8d287-6202-4e60-9c15-79097aedecef	1	152789447	152796224	37	0.6061
4db8d287-6202-4e60-9c15-79097aedecef	1	152801429	158896783	3615	0.0059
4db8d287-6202-4e60-9c15-79097aedecef	1	158898711	158899969	2	2.1128
4db8d287-6202-4e60-9c15-79097aedecef	1	158905028	174827267	11185	-0.0012
4db8d287-6202-4e60-9c15-79097aedecef	1	174827418	174828367	10	-0.7806
4db8d287-6202-4e60-9c15-79097aedecef	1	174828439	196779899	14664	-0.0006
4db8d287-6202-4e60-9c15-79097aedecef	1	196780051	196846661	37	0.3562
4db8d287-6202-4e60-9c15-79097aedecef	1	196847600	248930189	35794	0.0004
4db8d287-6202-4e60-9c15-79097aedecef	2	12784	52527330	37113	0.0119
4db8d287-6202-4e60-9c15-79097aedecef	2	52527342	52554404	39	-2.0353
4db8d287-6202-4e60-9c15-79097aedecef	2	52560811	57436641	3537	0.013
4db8d287-6202-4e60-9c15-79097aedecef	2	57437102	57446512	12	-0.58
4db8d287-6202-4e60-9c15-79097aedecef	2	57448039	87228594	18478	0.0131
4db8d287-6202-4e60-9c15-79097aedecef	2	87229739	87948339	100	0.253
4db8d287-6202-4e60-9c15-79097aedecef	2	87968707	88760924	405	0.005
4db8d287-6202-4e60-9c15-79097aedecef	2	88762542	91776664	390	0.1418
4db8d287-6202-4e60-9c15-79097aedecef	2	91779160	97359885	923	0.0054
4db8d287-6202-4e60-9c15-79097aedecef	2	97524284	97545726	9	1.1197
4db8d287-6202-4e60-9c15-79097aedecef	2	97550415	146106875	29397	0.0098
4db8d287-6202-4e60-9c15-79097aedecef	2	146106889	146109366	21	-1.5739
4db8d287-6202-4e60-9c15-79097aedecef	2	146120238	179196928	20260	0.0064
4db8d287-6202-4e60-9c15-79097aedecef	2	179202465	179214417	3	-2.597
4db8d287-6202-4e60-9c15-79097aedecef	2	179218864	179553484	219	0.0114
4db8d287-6202-4e60-9c15-79097aedecef	2	179553606	179556770	21	-0.6884
4db8d287-6202-4e60-9c15-79097aedecef	2	179556785	242147305	38528	0.0098
4db8d287-6202-4e60-9c15-79097aedecef	3	20930	6604856	5815	0.0155
4db8d287-6202-4e60-9c15-79097aedecef	3	6609441	6611645	23	-0.6883
4db8d287-6202-4e60-9c15-79097aedecef	3	6613391	37940617	21776	0.0012
4db8d287-6202-4e60-9c15-79097aedecef	3	37940970	37945437	17	-0.7613
4db8d287-6202-4e60-9c15-79097aedecef	3	37945615	60394131	13437	-0.0043
4db8d287-6202-4e60-9c15-79097aedecef	3	60394526	60449149	62	-1.0381
4db8d287-6202-4e60-9c15-79097aedecef	3	60455608	75519398	11575	0.0007
4db8d287-6202-4e60-9c15-79097aedecef	3	75523398	75537654	6	-2.352
4db8d287-6202-4e60-9c15-79097aedecef	3	75546030	99225703	10972	0.003
4db8d287-6202-4e60-9c15-79097aedecef	3	99225754	99230470	33	-0.4464
4db8d287-6202-4e60-9c15-79097aedecef	3	99230577	128675662	18068	-0.0036
4db8d287-6202-4e60-9c15-79097aedecef	3	128676647	128693488	10	1.1185
4db8d287-6202-4e60-9c15-79097aedecef	3	128695318	130044016	621	0.0115
4db8d287-6202-4e60-9c15-79097aedecef	3	130044855	130087393	38	0.4705
4db8d287-6202-4e60-9c15-79097aedecef	3	130088081	146585963	10312	0.0045
4db8d287-6202-4e60-9c15-79097aedecef	3	146586710	146586810	2	-2.1423
4db8d287-6202-4e60-9c15-79097aedecef	3	146587106	162790390	9942	0.0119
4db8d287-6202-4e60-9c15-79097aedecef	3	162790404	162807070	14	0.7016
4db8d287-6202-4e60-9c15-79097aedecef	3	162810842	162815162	4	-0.2014
4db8d287-6202-4e60-9c15-79097aedecef	3	162816942	162822702	6	-0.8855
4db8d287-6202-4e60-9c15-79097aedecef	3	162827928	162849883	10	0.6939
4db8d287-6202-4e60-9c15-79097aedecef	3	162849938	162869881	13	0.1388
4db8d287-6202-4e60-9c15-79097aedecef	3	162874335	162908207	25	0.7574
4db8d287-6202-4e60-9c15-79097aedecef	3	162908784	193160113	19164	0.002
4db8d287-6202-4e60-9c15-79097aedecef	3	193160173	193161217	6	2.467
4db8d287-6202-4e60-9c15-79097aedecef	3	193162684	193165114	13	1.1642
4db8d287-6202-4e60-9c15-79097aedecef	3	193168646	195559056	1483	0.0128
4db8d287-6202-4e60-9c15-79097aedecef	3	195656271	195715711	21	0.5125
4db8d287-6202-4e60-9c15-79097aedecef	3	195719726	198169247	1188	0.0361
4db8d287-6202-4e60-9c15-79097aedecef	4	68929	10208570	5702	0.0078
4db8d287-6202-4e60-9c15-79097aedecef	4	10208670	10233644	38	1.0254
4db8d287-6202-4e60-9c15-79097aedecef	4	10234518	10390730	172	-0.0375
4db8d287-6202-4e60-9c15-79097aedecef	4	10391530	10399044	15	-1.8894
4db8d287-6202-4e60-9c15-79097aedecef	4	10401094	34771893	16767	0.0037
4db8d287-6202-4e60-9c15-79097aedecef	4	34777238	34828291	47	0.3638
4db8d287-6202-4e60-9c15-79097aedecef	4	34828306	49647774	8982	0.008
4db8d287-6202-4e60-9c15-79097aedecef	4	49648089	49656595	6	-0.983
4db8d287-6202-4e60-9c15-79097aedecef	4	51819533	63838575	7573	-0.0061
4db8d287-6202-4e60-9c15-79097aedecef	4	63839438	63842540	21	0.5277
4db8d287-6202-4e60-9c15-79097aedecef	4	63850713	69257792	3248	0.0022
4db8d287-6202-4e60-9c15-79097aedecef	4	69261926	69370433	57	-0.3926
4db8d287-6202-4e60-9c15-79097aedecef	4	69374263	86054070	10428	0.0006
4db8d287-6202-4e60-9c15-79097aedecef	4	86054941	86058611	19	-0.5819
4db8d287-6202-4e60-9c15-79097aedecef	4	86058791	171448195	51516	0.0023
4db8d287-6202-4e60-9c15-79097aedecef	4	171453733	171456559	10	1.3656
4db8d287-6202-4e60-9c15-79097aedecef	4	171456573	190106768	12477	0.0069
4db8d287-6202-4e60-9c15-79097aedecef	5	15532	12428665	9990	0.0011
4db8d287-6202-4e60-9c15-79097aedecef	5	12429991	12448417	6	-1.1066
4db8d287-6202-4e60-9c15-79097aedecef	5	12451755	69550476	33060	0.0007
