GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9efc21b2-c364-486b-a977-329f400b55c4	1	62920	98588	12	-1.1184
9efc21b2-c364-486b-a977-329f400b55c4	1	98602	2866475	531	-0.0086
9efc21b2-c364-486b-a977-329f400b55c4	1	2869580	2871142	2	-2.1064
9efc21b2-c364-486b-a977-329f400b55c4	1	2872530	16604834	8065	0.0026
9efc21b2-c364-486b-a977-329f400b55c4	1	16605031	16643683	21	-0.5986
9efc21b2-c364-486b-a977-329f400b55c4	1	16643816	20660064	2698	-0.0071
9efc21b2-c364-486b-a977-329f400b55c4	1	20662264	20664946	2	-2.6911
9efc21b2-c364-486b-a977-329f400b55c4	1	20666714	30012663	4811	0.0024
9efc21b2-c364-486b-a977-329f400b55c4	1	30012894	30013281	2	-1.9034
9efc21b2-c364-486b-a977-329f400b55c4	1	30014547	34625993	2763	-0.0044
9efc21b2-c364-486b-a977-329f400b55c4	1	34626037	34649941	24	-0.6315
9efc21b2-c364-486b-a977-329f400b55c4	1	34650960	72303233	23657	0.0014
9efc21b2-c364-486b-a977-329f400b55c4	1	72303253	72345465	45	-1.8695
9efc21b2-c364-486b-a977-329f400b55c4	1	72346221	103570536	19912	-0.0002
9efc21b2-c364-486b-a977-329f400b55c4	1	103570602	103760879	31	0.5079
9efc21b2-c364-486b-a977-329f400b55c4	1	103761017	105478759	921	0.0014
9efc21b2-c364-486b-a977-329f400b55c4	1	105479005	105479753	9	1.1245
9efc21b2-c364-486b-a977-329f400b55c4	1	105481433	109690431	2627	-0.0005
9efc21b2-c364-486b-a977-329f400b55c4	1	109690640	109697556	10	1.5544
9efc21b2-c364-486b-a977-329f400b55c4	1	109702376	152583051	9523	0.0025
9efc21b2-c364-486b-a977-329f400b55c4	1	152583230	152613762	31	-2.0254
9efc21b2-c364-486b-a977-329f400b55c4	1	152613802	152789570	175	-0.0004
9efc21b2-c364-486b-a977-329f400b55c4	1	152789781	152795027	18	-0.5646
9efc21b2-c364-486b-a977-329f400b55c4	1	152795141	153353209	461	-0.0036
9efc21b2-c364-486b-a977-329f400b55c4	1	153355859	153356408	2	-1.8793
