Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	61735	228729	19	-0.2078
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	229075	564621	13	0.5229
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	603590	923679	55	-0.4867
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	926431	949608	3	-2.1404
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	962670	24581338	13402	-0.4745
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	24581416	24581493	2	-2.7733
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	24582162	25583341	641	-0.473
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	25593128	25663344	33	-0.9792
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	25673154	35102654	4956	-0.4632
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	35102670	35104491	19	-1.4388
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	35114268	44058143	5065	-0.4611
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	44058281	44062827	2	-2.9088
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	44064046	46901546	1428	-0.4662
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	46902399	46902461	2	-2.6859
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	46905067	70916222	16113	-0.5059
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	70917006	70917116	2	-2.2499
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	70917813	71049359	150	-0.5056
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	71049391	71049909	2	-1.945
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	71050436	72768916	1074	-0.5169
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	72768936	72811904	46	-1.3611
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	72812440	104159384	20075	-0.5203
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	104163499	104268222	27	0.574
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	104303403	106000943	911	-0.4873
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	106001360	106024090	27	0.1054
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	106024137	110232974	2668	-0.512
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	110233037	110242953	17	-1.502
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	110244998	111376220	839	-0.4834
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	111377368	111393396	42	-0.1486
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	111393490	112690326	1076	-0.5072
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	112695965	112706082	29	0.0861
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	112706118	115873047	1994	-0.4957
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	115874931	115876503	4	-2.5877
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	115877522	152555706	6018	-0.4889
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	152555767	152586238	30	-1.6484
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	152586278	152756774	172	-0.4638
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	152756806	152768700	40	0.2313
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	1	152773905	249224388	65502	-0.5132
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	12784	34691069	24120	0.0562
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	34699315	34737057	46	0.6091
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	34737163	35953421	864	0.0763
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	35955369	35987947	21	0.5684
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	35997473	40332851	3173	0.0588
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	40335410	40336640	4	-0.9655
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	40338067	41238235	770	0.0488
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	41238443	41242759	14	0.5312
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	41242830	87128201	30262	0.06
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	87129203	87161853	3	-1.4017
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	87172727	91760890	1057	0.0777
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	91766584	91849290	38	-0.4347
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D10_747816	2	91858949	106881633	6573	0.0582
