Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	61735	603590	33	0.452
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	625470	6027733	2766	-0.2708
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	6029937	6031944	2	-3.7038
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	6033868	22323157	9380	-0.2711
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	22324705	22330539	4	-5.4884
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	22337243	111380020	55210	-0.2767
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	111382479	111383954	15	-1.8466
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	111383972	112690326	1076	-0.2531
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	112695965	112697012	18	0.661
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	112697174	112709053	21	0.206
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	112709073	117898930	3354	-0.2733
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	117902649	117946173	24	-0.9488
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	117947364	120115285	1323	-0.306
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	120115384	120122683	11	0.5144
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	120122685	145151728	644	-0.1961
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	145151959	145152018	3	1.8907
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	145152050	152555176	2634	-0.2024
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	152555527	152586594	36	0.619
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	152590494	152759678	170	-0.284
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	152761923	152767963	31	0.4515
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	152768259	155656969	1554	-0.2347
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	155661227	155663357	3	-2.4124
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	155666961	160146173	2892	-0.2664
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	160146494	160146803	3	-2.8636
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	160146943	187291219	18689	-0.2777
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	187292608	187298367	2	-3.5367
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	187298859	196727850	6281	-0.2799
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	196731035	196761820	41	0.444
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_G10_729422	1	196762066	219399794	15313	-0.2814
