Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	1	3218610	5245818	1317	-0.0511
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	1	5246626	5247355	3	-1.1115
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	1	5250497	206313318	100981	-0.0026
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	1	206322086	206329939	3	-1.0296
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	1	206496641	247813706	26817	0.0067
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	484222	30958390	18726	0.0057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	30959208	30959827	3	-0.875
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	30961326	117351367	42439	0.0049
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	117352717	117352829	2	-1.3979
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	117353232	222466035	58149	0.003
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	222466657	222471516	10	0.6094
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	222472562	229888822	4695	-7e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	229893057	229894124	5	-0.7451
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	2	229897032	242476062	7251	-0.0249
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	3	2212571	143276257	78649	5e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	3	143280692	143280737	2	-1.6797
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	3	143281983	197538677	27737	0.0082
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	4	1053934	106530803	58341	0.0107
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	4	106531744	106531758	2	-1.2328
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	4	106531938	188763651	44389	0.0156
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	914233	62042182	33271	0.0078
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	62046517	62046751	3	-1.0782
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	62047679	100955898	19834	0.0022
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	100956269	100956432	2	-1.2722
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	100959366	177058378	45885	0.0086
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	177058766	177059130	2	-1.4663
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	5	177059714	180360469	1512	-0.0352
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	6	1014281	170903919	96484	0.0047
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	7	705284	119570509	60677	0.0045
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	7	119572966	119635454	36	-0.8709
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	7	119638133	158385118	20604	-0.0015
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D04_584974	8	617667	19587103	10358	0.0129
