Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	61735	3004357	669	0.0555
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	3009969	3025712	3	-1.1274
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	3026100	16869363	8056	-0.0079
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	16871278	17295212	175	0.2436
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	17297698	35091638	10258	-0.0086
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	35091674	35104491	21	-0.638
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	35114268	65858088	19257	-0.0137
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	65859108	65955725	64	0.2035
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	65956938	72763370	4543	0.0027
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	72768418	72811148	48	-1.3644
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	72811904	104159384	20091	0.0058
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	104163499	104268222	27	0.7853
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	104303403	106013376	920	0.0085
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	106019205	106022375	17	0.5897
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	106024055	110232974	2671	0.0116
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	110233037	110240178	16	-1.027
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	110242953	148789461	8341	0.0022
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	148789848	149422459	182	-0.4371
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	149422617	152555527	1499	0.0104
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	152555706	152586594	35	-1.5894
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	152590494	152756806	169	0.0285
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	152757690	152768700	39	0.507
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	152773905	158866573	3622	0.0114
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	158868501	158869759	2	2.3031
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	158874818	193155792	23518	-8e-04
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	193156279	193156332	3	1.1991
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	193156348	196732086	2407	0.0078
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	196738623	196815791	92	-0.231
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	1	196816730	249224388	35955	0.0058
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	12784	34652871	24100	0.0047
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	34659936	34737057	57	0.5067
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	34737163	87128201	35092	0.0037
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	87129203	87137385	2	-2.5763
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	87161853	117909207	13654	-0.0014
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	117911795	118034138	74	0.4212
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	118046965	138704792	12890	0.0138
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	138705038	138707313	4	-1.0968
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	138707686	146862085	5008	0.0193
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	146864404	146866934	24	-1.5093
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	2	146877806	243089456	59160	6e-04
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	60345	224602	157	0.0426
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	230022	232800	4	-1.2024
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	234877	6651211	5687	0.0281
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	6651237	6653148	18	0.4643
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	6653222	31503032	17739	0.0067
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	31503397	31503720	3	-2.0589
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	31504956	37977417	4086	0.0015
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	37982108	37986928	18	-0.8667
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	37987106	46818240	5565	-0.0117
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	46831837	46844400	10	0.62
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	46844439	68746164	14578	-0.0116
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	68746259	68748758	15	0.8516
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	68748786	75421170	4868	-9e-04
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	75427107	75548569	55	-0.7613
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	75548734	75586805	13	0.1643
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	75595181	75639507	8	-0.8002
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	75645384	97899419	10406	0.0042
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	97908670	97914817	4	-1.0959
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	97915948	98936963	594	0.0193
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	98937784	98948802	24	0.4442
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	98948912	129760622	18766	0.0076
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	129761124	129806236	54	-0.3349
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	129806924	130135006	220	-0.0022
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	130135070	130135084	2	-1.985
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	130135440	146896750	10456	0.0088
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	146897134	146897203	2	-1.7094
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	146897625	162508268	9612	0.0122
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	162512657	162626572	71	-0.48
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	162626603	192877902	19200	0.0096
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	192877962	192882903	19	1.278
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	192886435	193573931	465	-0.006
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E01_747724	3	193578961	193581259	4	-1.037
