Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	1	3208470	185552757	90953	-0.0064
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	1	185556774	185618716	42	-0.9524
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	1	185621510	204479941	11276	0.0073
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	1	204488709	204496562	3	-1.0723
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	1	204606274	245880329	26826	0.0022
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	2	474222	217124248	116155	0.0084
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	2	217125107	217134182	6	-1.0904
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	2	217135595	241620475	14897	-2e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	2	241626875	241637052	4	-1.0482
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	2	241637065	242124735	278	0.0073
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	526235	21707118	11572	0.0058
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	21707949	21709347	4	-1.0092
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	21711287	149757195	69391	-6e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	149768696	149768883	2	-1.6827
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	149769043	175532099	13454	0.0063
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	175533609	175533732	2	-1.9569
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	3	175535423	199023074	11998	0.002
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	4	1043934	161219872	88356	0.0046
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	4	161220979	161221583	5	-1.0234
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	4	161225733	189836143	14399	0.0068
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	5	967233	7194920	4504	0.0119
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	5	7195281	7195465	4	-0.8012
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	5	7195487	180293075	96019	-0.0017
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	959281	2960195	1545	2e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	2960463	2961056	6	0.8029
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	2962137	52277910	29258	-0.0071
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	52278457	52278900	2	-1.4222
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	52280614	91033654	19036	0.0098
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	91034809	91036762	2	2.2831
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	6	91041759	170745844	46653	0.0021
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	7	671810	158077879	81335	0.0039
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	8	607667	3469284	1456	0.0221
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	8	3475054	3475452	3	-1.0745
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	8	3475710	9343140	2344	0.0252
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	8	9343409	9343957	2	-1.875
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	8	9345566	145304484	77753	0.0069
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	779932	81182706	31019	0.0087
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	81184071	81184072	2	-1.2693
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	81184216	106414302	16129	-0.0056
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	106416409	106416658	3	-1.1725
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	106416775	132419962	17147	-0.0072
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	132420220	132420832	2	-1.398
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	9	132420849	140058573	3723	-0.0116
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	10	405240	59238330	33682	0.0112
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	10	59239095	59239732	2	-1.9065
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	10	59242014	78984596	12012	-7e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C01_680080	10	78985713	78986465	4	-1.5947
