GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	62920	1154209	97	-0.1639
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	1154229	2917178	466	0.1079
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	2917279	3309376	190	0.0844
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	3309649	9244568	3905	0.011
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	9244672	12294250	1569	0.0622
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	12295430	12295446	2	-1.7576
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	12297031	15811564	2099	0.0549
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	15811600	15828515	23	0.5286
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	15839166	16627347	310	0.0342
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	16627800	16864367	46	0.2959
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	16868660	16932568	45	-0.2636
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	16934716	25256850	5274	0.0615
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	25266637	25320455	24	0.7138
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	25336819	55533624	16753	0.082
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	55538222	55548943	8	-2.2377
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	55551307	56558259	780	0.085
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	56562489	61923548	4086	0.1246
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	61925388	61925562	2	-1.2796
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	61926822	72302735	7110	0.1423
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	72302815	72345450	46	-0.9861
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	72345465	76661137	2763	0.1183
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	76662744	76665935	5	-1.1743
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	76666906	105476583	18192	0.1395
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	105476614	105479753	16	-1.4137
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	105481433	112147704	4599	0.1258
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	112153343	112154754	24	-1.2771
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	112154768	116651953	2889	0.1362
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	116657749	116657782	2	-1.8496
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	116663714	143547139	2281	0.1478
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	143547196	144503864	135	0.3307
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	144932423	151877596	1870	0.5084
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	151881136	152583230	431	0.2946
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	152583291	152614118	34	-0.9964
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	152618018	152789532	171	0.264
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	152789570	152795783	28	1.1166
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	152795805	153028820	180	0.3136
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	153028887	158896783	3440	0.4793
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	158898711	158899969	2	-0.8774
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	158905028	162589627	2393	0.4989
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	162589689	165685290	2580	0.0944
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	165685614	165685632	2	-1.6808
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	165686867	169247699	2693	0.108
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	169264736	169272528	5	-1.6238
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	169273163	170915778	1166	0.1368
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	170916222	171048569	72	-0.1301
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	171051341	171055227	2	-2.3998
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	171055733	192707337	14178	-0.1796
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	192708122	192708196	2	-2.927
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	192710567	196772151	2765	-0.1546
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	196772186	196847600	48	0.2196
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	196854187	199813353	1810	-0.1255
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	199813442	208852516	6115	-0.2138
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	208856599	223200860	9994	-0.1763
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	223201606	227963019	2961	-0.1988
9e5b6046-1d2c-44af-8430-421ec0036bb6	1	227967062	227985977	3	-1.4581
