GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
196200b0-de44-4bab-8e0d-c05478933d7c	1	62920	16246309	8524	0.006
196200b0-de44-4bab-8e0d-c05478933d7c	1	16247887	16248535	2	-1.3677
196200b0-de44-4bab-8e0d-c05478933d7c	1	16252575	16689764	157	-0.0181
196200b0-de44-4bab-8e0d-c05478933d7c	1	16718963	16721984	6	-0.6821
196200b0-de44-4bab-8e0d-c05478933d7c	1	16766762	16855942	14	0.029
196200b0-de44-4bab-8e0d-c05478933d7c	1	16863509	16935302	52	-0.4846
196200b0-de44-4bab-8e0d-c05478933d7c	1	16935393	30264526	7676	0.0044
196200b0-de44-4bab-8e0d-c05478933d7c	1	30265508	30266949	7	-0.8327
196200b0-de44-4bab-8e0d-c05478933d7c	1	30268649	72290491	26340	0.0028
196200b0-de44-4bab-8e0d-c05478933d7c	1	72293529	72357114	64	0.2946
196200b0-de44-4bab-8e0d-c05478933d7c	1	72357136	86307363	9130	0.0053
196200b0-de44-4bab-8e0d-c05478933d7c	1	86311139	86312583	2	-1.3338
196200b0-de44-4bab-8e0d-c05478933d7c	1	86314399	89009572	1794	-0.0039
196200b0-de44-4bab-8e0d-c05478933d7c	1	89012275	89012522	2	-2.1568
196200b0-de44-4bab-8e0d-c05478933d7c	1	89015841	103560435	9061	0.005
196200b0-de44-4bab-8e0d-c05478933d7c	1	103560608	103620877	29	0.4983
196200b0-de44-4bab-8e0d-c05478933d7c	1	103621165	109690352	3578	0.0088
196200b0-de44-4bab-8e0d-c05478933d7c	1	109690415	109697556	12	-0.8751
196200b0-de44-4bab-8e0d-c05478933d7c	1	109702376	143547139	7144	0.0054
196200b0-de44-4bab-8e0d-c05478933d7c	1	143547196	144442342	125	0.2628
196200b0-de44-4bab-8e0d-c05478933d7c	1	144445555	152583051	2310	0.0229
196200b0-de44-4bab-8e0d-c05478933d7c	1	152583230	152598884	13	1.7146
196200b0-de44-4bab-8e0d-c05478933d7c	1	152599241	152602773	10	3.0119
196200b0-de44-4bab-8e0d-c05478933d7c	1	152602985	152614118	12	1.889
196200b0-de44-4bab-8e0d-c05478933d7c	1	152618018	152787202	167	-0.0449
196200b0-de44-4bab-8e0d-c05478933d7c	1	152789447	152801429	38	0.5544
196200b0-de44-4bab-8e0d-c05478933d7c	1	152804279	169247699	11283	0.0007
196200b0-de44-4bab-8e0d-c05478933d7c	1	169264736	169272528	6	-1.8062
196200b0-de44-4bab-8e0d-c05478933d7c	1	169273163	174827267	3519	-0.0025
196200b0-de44-4bab-8e0d-c05478933d7c	1	174827418	174832702	16	-0.4917
196200b0-de44-4bab-8e0d-c05478933d7c	1	174832716	179361393	3076	0.005
196200b0-de44-4bab-8e0d-c05478933d7c	1	179362247	179364180	3	-1.353
196200b0-de44-4bab-8e0d-c05478933d7c	1	179370071	196769851	11577	-0.0034
196200b0-de44-4bab-8e0d-c05478933d7c	1	196770842	196854483	55	0.2562
196200b0-de44-4bab-8e0d-c05478933d7c	1	196854586	222193326	17397	0.0003
196200b0-de44-4bab-8e0d-c05478933d7c	1	222201492	222203662	2	-2.4154
196200b0-de44-4bab-8e0d-c05478933d7c	1	222208792	227587125	3278	-0.004
196200b0-de44-4bab-8e0d-c05478933d7c	1	227587204	227590810	4	-0.8701
196200b0-de44-4bab-8e0d-c05478933d7c	1	227597361	229675422	1151	0.0094
196200b0-de44-4bab-8e0d-c05478933d7c	1	229681109	229686006	10	0.6079
196200b0-de44-4bab-8e0d-c05478933d7c	1	229686151	245473108	11772	0.0029
196200b0-de44-4bab-8e0d-c05478933d7c	1	245473737	245483602	10	-0.8908
196200b0-de44-4bab-8e0d-c05478933d7c	1	245486349	248930189	2187	0.0205
196200b0-de44-4bab-8e0d-c05478933d7c	2	12784	4158097	2988	0.0138
196200b0-de44-4bab-8e0d-c05478933d7c	2	4166274	4176429	42	-0.5944
196200b0-de44-4bab-8e0d-c05478933d7c	2	4182472	34474248	21064	0.0058
196200b0-de44-4bab-8e0d-c05478933d7c	2	34476327	34511990	45	-1.5324
196200b0-de44-4bab-8e0d-c05478933d7c	2	34512096	52504781	12987	0.0096
196200b0-de44-4bab-8e0d-c05478933d7c	2	52504828	52527330	18	-0.6108
196200b0-de44-4bab-8e0d-c05478933d7c	2	52527342	52554404	39	-1.8399
196200b0-de44-4bab-8e0d-c05478933d7c	2	52560811	52565799	6	-0.5384
196200b0-de44-4bab-8e0d-c05478933d7c	2	52566244	78792670	16925	0.0034
196200b0-de44-4bab-8e0d-c05478933d7c	2	78794303	79399304	502	0.0811
196200b0-de44-4bab-8e0d-c05478933d7c	2	79399503	87203730	4594	0.0059
196200b0-de44-4bab-8e0d-c05478933d7c	2	87207015	87286164	28	-0.2828
196200b0-de44-4bab-8e0d-c05478933d7c	2	87287256	87287267	2	-1.6525
196200b0-de44-4bab-8e0d-c05478933d7c	2	87295819	106263639	7376	0.0067
196200b0-de44-4bab-8e0d-c05478933d7c	2	106264257	106268901	11	-0.6458
196200b0-de44-4bab-8e0d-c05478933d7c	2	106270799	146104517	23825	0.0041
196200b0-de44-4bab-8e0d-c05478933d7c	2	146106836	146109366	24	-1.6211
196200b0-de44-4bab-8e0d-c05478933d7c	2	146120238	180060478	20897	0
196200b0-de44-4bab-8e0d-c05478933d7c	2	180061501	180065239	5	-1.0055
196200b0-de44-4bab-8e0d-c05478933d7c	2	180065971	242147305	38167	0.0008
196200b0-de44-4bab-8e0d-c05478933d7c	3	20930	6604856	5816	0.0319
196200b0-de44-4bab-8e0d-c05478933d7c	3	6609441	6611645	23	-0.6977
196200b0-de44-4bab-8e0d-c05478933d7c	3	6613391	26369159	14028	0.0083
196200b0-de44-4bab-8e0d-c05478933d7c	3	26371767	26372405	2	1.5925
196200b0-de44-4bab-8e0d-c05478933d7c	3	26372532	33005364	4603	0.0062
196200b0-de44-4bab-8e0d-c05478933d7c	3	33005858	33007329	2	-1.641
196200b0-de44-4bab-8e0d-c05478933d7c	3	33009209	99225788	39243	0.0073
196200b0-de44-4bab-8e0d-c05478933d7c	3	99225919	99230232	22	-0.505
196200b0-de44-4bab-8e0d-c05478933d7c	3	99230264	132552789	20370	0.0029
196200b0-de44-4bab-8e0d-c05478933d7c	3	132554831	132562086	5	-0.9539
196200b0-de44-4bab-8e0d-c05478933d7c	3	132563380	143566923	6745	0.0104
196200b0-de44-4bab-8e0d-c05478933d7c	3	143566958	143567132	4	0.8173
196200b0-de44-4bab-8e0d-c05478933d7c	3	143567959	151858258	5256	0.0049
196200b0-de44-4bab-8e0d-c05478933d7c	3	151860471	151863282	3	-1.181
196200b0-de44-4bab-8e0d-c05478933d7c	3	151866129	162795304	6646	0.0108
196200b0-de44-4bab-8e0d-c05478933d7c	3	162795361	162881279	51	0.4525
196200b0-de44-4bab-8e0d-c05478933d7c	3	162881312	176165961	8173	0.0101
196200b0-de44-4bab-8e0d-c05478933d7c	3	176170271	176196300	31	-0.9496
196200b0-de44-4bab-8e0d-c05478933d7c	3	176196598	193160113	10983	0.0095
196200b0-de44-4bab-8e0d-c05478933d7c	3	193160173	193165114	19	-0.8896
196200b0-de44-4bab-8e0d-c05478933d7c	3	193168646	194989838	1226	0.0116
196200b0-de44-4bab-8e0d-c05478933d7c	3	194990268	194994702	4	-0.8553
196200b0-de44-4bab-8e0d-c05478933d7c	3	194995358	195730018	288	0.0099
196200b0-de44-4bab-8e0d-c05478933d7c	3	195733825	195737995	7	-0.6563
196200b0-de44-4bab-8e0d-c05478933d7c	3	195746925	198169247	1169	0.0055
196200b0-de44-4bab-8e0d-c05478933d7c	4	68929	9455251	5159	0.0013
196200b0-de44-4bab-8e0d-c05478933d7c	4	9459504	9477699	6	-1.177
196200b0-de44-4bab-8e0d-c05478933d7c	4	9484440	10208766	540	-0.003
196200b0-de44-4bab-8e0d-c05478933d7c	4	10221792	10229874	28	0.802
196200b0-de44-4bab-8e0d-c05478933d7c	4	10232590	10233644	7	0.1563
