GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	62920	814954	31	-0.3017
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	817186	15823420	8304	0.0112
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	15827002	15828471	9	-1.1075
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	15828515	16041638	87	0.0104
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	16041908	16063907	7	0.6055
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	16071582	16488499	195	0.0227
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	16489035	16643683	36	-0.6036
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	16643816	25269456	5349	-0.0021
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	25269914	25292440	13	0.8575
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	25292549	72303233	28738	-0.0017
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	72303253	72345465	45	1.2362
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	72346221	109679105	23595	0.0043
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	109684695	109697556	15	-1.3944
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	109702376	109888800	132	-0.0136
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	109888892	109891299	2	-1.6814
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	109893187	112147704	1815	0.004
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	112153343	112163518	32	0.6269
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	112163527	119478796	4642	0.0061
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	119479552	119481265	2	-1.7919
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	119481348	152583051	2947	0.0003
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	152583230	152613802	32	-1.4066
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	152614064	152787202	170	-0.016
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	152789447	152796224	37	-1.5681
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	152801429	158896783	3612	0.0015
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	158898711	158899969	2	1.9651
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	158905028	169247699	7663	0.0022
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	169264736	169272528	7	0.8656
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	169273163	174827267	3516	-0.0094
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	174827418	174832996	22	-0.7163
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	174833014	195102214	13567	0.0094
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	195102216	195213965	76	-0.8733
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	195216939	196745692	989	0.0316
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	196745743	196832525	58	0.4644
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	196832720	214647590	12026	-0.0021
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	214648072	214648113	2	-2.1442
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	214649658	217976124	2413	-0.0164
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	217976141	217976156	2	-2.9017
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	217979009	248550567	21193	0.0044
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	248572774	248626987	29	-0.5889
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	1	248631163	248930189	145	0.0893
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	12784	1123366	760	0.0199
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	1123541	1129508	5	-1.1218
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	1130227	4158097	2221	0.0157
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	4166274	4175577	36	-2.0778
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	4175922	50763901	32902	0.004
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	50764104	51127226	242	0.1556
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	51127370	52038525	633	-0.0109
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	52039769	52046762	2	-2.1439
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	52047691	52527330	315	0.0347
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	52527342	52554236	33	0.6484
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	52554259	77670984	16259	0.0017
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	77673296	77689636	3	-1.7964
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	77689933	78473831	509	0.0175
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	78474950	78592228	60	0.6319
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	78596431	82835710	2853	0.0025
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	82837047	82838736	3	-3.1812
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	82841297	87286164	2361	0.0067
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	87287256	87295819	3	-2.3654
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	87299357	110097158	9498	-0.0053
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	110097971	110411551	67	0.4693
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	110631055	112134216	749	-0.0076
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	112135131	112154346	10	-0.7125
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	112154709	130059766	11337	0.0098
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	130059787	130068769	8	-0.9292
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	130112379	132002227	632	-0.0075
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	132002751	132192510	50	-0.301
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	132217587	146107615	8856	0.0068
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	146107675	146120827	18	1.0483
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	146120842	207491028	36963	0.0033
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	207491198	207494425	10	-0.8622
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	207494612	232405481	15899	0.0017
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	232406161	232423556	11	-0.7763
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	232424039	234763050	1654	-0.0032
b2af6e85-e863-4a46-b6cb-7bc2ab4961be	2	234763773	234764895	2	-1.7869
