Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	61735	752566	45	0.4375
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	757469	16970456	8710	-0.0192
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17005734	17048479	38	0.3887
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17056457	17190004	24	0.0468
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17190862	17262247	62	0.4314
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17276241	17593406	237	-0.0133
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17594896	17620009	22	0.6277
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	17622654	35091674	10007	-0.0265
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	35102654	35104491	20	-0.6409
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	35114268	49909140	8397	-0.0297
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	49914123	49997863	29	-0.8155
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	49999266	58719560	5610	-0.0229
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	58719909	58733326	14	0.6226
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	58742470	72750353	9800	-0.0155
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	72756113	72763370	9	-1.1722
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	72768418	72822836	60	0.3115
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	72827978	104155731	20059	-0.0271
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	104155802	104225557	20	0.7241
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	104225568	106013376	932	-0.0308
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	106019205	106021381	8	-1.3635
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	106021627	106022375	9	-2.8592
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	106024055	110232974	2669	-0.0079
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	110233037	110235032	11	-0.8892
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	110236932	112690326	1962	-0.0047
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	112695965	112697376	24	-0.5576
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	112697390	152555527	8040	0.0196
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	152555706	152586576	33	-0.7024
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	152586594	152757690	171	0.1905
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	152759678	152768700	38	0.7796
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	152773905	158649337	3414	0.0531
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	158649429	158649453	2	-1.2846
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	158649464	161650621	1912	-0.0229
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	161652302	161658658	4	-1.1569
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	161658780	167269209	4518	-0.0356
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	167270716	167270729	2	-1.3103
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	167271862	169216111	1482	-0.0456
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	169216937	169241766	8	0.7878
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	169242401	174796405	3521	-0.0345
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	174796556	174801840	16	-2.3497
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	174801854	196714873	14656	-0.0231
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	196727850	196799699	80	0.3066
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	196799714	201473647	3077	-0.0348
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	201474400	201474544	2	-1.9694
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	201475220	222366668	14373	-0.0397
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E10_932734	1	222374834	222377004	2	-2.5362
