Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	1	3218610	247813706	129106	0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	484222	41237103	24027	5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	41237130	41237386	3	1.2982
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	41237564	126638855	41668	-4e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	126641294	126641586	3	-1.8486
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	126654509	129277813	1465	-0.009
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	129278370	129278456	2	2.0677
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	129280099	183053658	30719	0.0014
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	183054995	183059200	5	-1.1718
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	183065934	229227594	25715	0.0033
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	229229468	229229989	3	-1.5657
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	229233709	238553447	5520	0.0076
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	238555843	238556768	2	-2.0538
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	2	238557183	242476062	2116	0.0209
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	3	2212571	194398333	105549	0.0022
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	3	194400177	194400812	2	-2.0956
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	3	194402374	194596170	129	0.0047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	3	194596650	194647609	3	-0.9999
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	3	194648249	197538677	665	0.015
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	4	1053934	188763651	102738	-0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	914233	6384283	3849	0.0036
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	6386801	6387807	4	-1.0771
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	6390558	17090045	6711	-0.0109
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	17091795	17091878	2	1.9086
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	17095027	30885139	7081	-0.011
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	30885646	30888739	2	-1.9845
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	30888774	30979871	81	-0.051
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	30982726	30985663	2	-1.5186
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	30985702	65553010	17165	0.0046
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	65561968	65562891	2	-2.0043
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	65569793	83245518	9769	0.0054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	83251242	83251858	2	-1.6373
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	5	83253014	180360469	55822	-0.0034
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	6	1014281	170903919	96466	0.0021
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	7	705284	32209193	17645	-0.0055
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	7	32209359	32423399	197	0.5729
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	7	32426450	34682881	1345	-0.0031
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	7	34684130	34687250	3	-1.3758
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	7	34687617	158385118	62115	-0.0072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	8	617667	145232496	81524	-2e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	9	789932	32282392	19393	-0.0021
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	9	32282978	32286014	6	-0.9423
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	9	32290481	103903831	25845	0.0037
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	9	103904088	103904576	2	-1.7316
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	9	103904878	140938752	22757	0.0067
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	415240	3305411	1431	-0.0085
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	3306688	3310378	27	-1.0306
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	3312072	17158290	10712	-0.0053
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	17158638	17158788	2	-2.1428
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	17161240	36701369	12740	-0.01
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	36702570	36702640	2	-1.714
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	36703776	124796990	49837	-0.0036
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	124799164	124799259	3	-1.4239
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	10	124803819	135225087	6100	-0.001
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	11	456120	134142530	77226	0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	889902	27771559	15896	7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	27772161	27772971	2	-1.6097
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	27776230	60519377	15298	-5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	60523232	60525112	2	-1.5511
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	60530957	79744644	11865	3e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	79746636	79748109	3	-1.3992
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	79751280	101660339	13316	-0.0031
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	101660685	101661449	3	-1.8255
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	12	101665480	133161346	17548	-0.0019
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	13	19450806	24586526	2451	-0.0073
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	13	24586927	24587884	3	-1.7747
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	13	24588763	30212446	3884	-0.0052
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	13	30212940	30213872	3	-2.1256
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	13	30225280	114987458	50311	1e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	14	20501368	105988038	49446	5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	15	23687685	101884307	44518	0.0114
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	16	653459	89379936	40784	0.0012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	17	987221	80917016	36966	0.0079
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	18	329586	59282156	33497	-4e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	18	59282196	59282309	2	-1.488
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	18	59284865	77109240	9164	-0.0014
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	19	284018	17585203	6685	0.004
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	19	17586087	17592830	2	-1.5523
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	19	17593000	46903366	12383	0.0074
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	19	46906997	46911127	2	-2.0755
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	19	46911182	58878226	4865	0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	20	455764	62219837	37261	0.0058
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	21	15347621	47678774	20575	-0.0022
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	22	17423930	49331012	16930	0.013
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	3157107	12175706	2865	0.0232
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	12175845	12176019	5	-3.6919
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	12176576	39215527	13224	0.0176
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	39215829	39216082	2	-4.3538
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	39216228	63472146	8138	0.0253
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	63479145	63479197	2	-4.889
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C10_697446	X	63481016	154905589	39463	0.0142
