GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	62920	1696479	211	0.0923
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	1696979	1741164	15	0.6786
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	1756148	16494124	8414	0.0107
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	16504088	16877002	66	0.3897
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	16883108	33428857	9358	0.0053
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	33432565	33434101	4	-0.9209
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	33434549	72284670	24711	0.0062
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	72290430	72297687	9	-1.0542
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	72302735	105476688	21007	0.0061
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	105476748	105479753	14	0.9205
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	105481433	108187137	1939	0.0004
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	108191613	108194874	3	-4.3367
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	108196482	109679105	693	0.018
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	109684695	109697556	15	1.181
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	109702376	111769532	1584	0.0036
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	111769589	111769929	3	1.0886
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	111770456	121705338	5549	0.0115
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	143459641	143734438	97	0.2233
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	143748012	143762042	22	0.612
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	143796140	144442092	12	0.2565
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	144442098	152583051	2310	0.0266
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	152583230	152614118	35	1.1078
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	152618018	152787202	167	0.0169
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	152789447	152796224	37	0.474
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	152801429	209897717	38315	0.0068
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	209908268	209910639	3	1.4955
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	209913207	212831113	1948	0.0073
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	212831670	212837094	7	-0.83
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	212841111	222843064	6988	0.0049
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	222843983	222850427	6	-1.7927
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	1	222853375	248930189	18083	0.0092
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	12784	14563570	11043	0.0122
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	14564825	14569968	12	-1.2284
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	14570240	34474248	13038	0.0045
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	34476327	34511990	45	-2.1027
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	34512096	37759132	2443	0.011
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	37759133	37767439	5	-0.8365
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	37767815	44586452	4933	0.0168
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	44592860	44597581	7	-1.019
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	44599700	52527330	5619	-0.0002
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	52527342	52527743	6	-1.7143
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	52531615	52554188	26	-0.7248
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	52554236	64925585	7942	0.0088
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	64926254	64949261	22	0.5974
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	64951570	82052771	11294	0.0067
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	82053326	82053878	2	-2.0561
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	82054005	97118174	4543	0.0182
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	97118402	97670306	102	0.2276
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	97673376	137224578	23893	0.0101
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	137226077	137226691	5	-1.9051
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	137227715	146106875	5471	0.0083
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	146106889	146109366	21	-2.1667
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	2	146120238	242147305	59078	0.0046
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	20930	7102136	6244	0.0354
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	7106705	59686328	34009	0.0094
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	59686509	60792199	1294	0.0516
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	60794907	60798502	5	-0.8984
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	60798622	75357247	11124	0.0085
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	75366712	75747577	107	0.231
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	75748496	77598815	1143	0.0079
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	77599334	77604099	3	-1.1582
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	77606426	84798833	3899	0.0015
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	84801996	84823831	13	-1.2604
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	84830880	94669289	3423	0.0062
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	94678984	94685615	5	-0.9526
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	94694455	99218940	2446	0
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	99225614	99232120	39	0.3564
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	99232539	128680378	18081	0.0078
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	128686328	128693488	7	1.1888
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	128695318	130044016	621	0.0028
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	130044855	130087393	38	0.7016
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	130088081	130149891	23	0.2657
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	130152692	131987852	1143	-0.0061
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	131989313	131989627	2	-1.8914
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	131996155	162794951	19096	0.0079
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	162795304	162908207	68	-1.6662
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	162908784	162996729	72	-0.0268
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	162999939	163001774	2	-2.1973
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	163008371	163941185	510	-0.0001
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	163944509	163945083	7	-1.0196
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	163945129	169012392	2850	0.0101
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	169015614	169020840	2	-2.1359
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	169022039	179169658	6592	0.0119
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	179169801	179174436	10	-0.568
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	179174457	193160113	9128	0.0093
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	193160173	193165114	19	1.4463
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	3	193168646	198169247	2693	0.0135
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	68929	4007631	1591	0.0134
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	4012874	4151033	42	0.3719
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	4158336	10221792	4073	0.0146
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	10222004	10229874	27	-2.0314
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	10232590	34771893	16972	0.0067
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	34777238	34828306	48	-0.4902
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	34828327	40698556	3880	0.0083
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	40701994	40702175	3	-2.5219
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	40702670	42760100	1349	0.0146
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	42762932	42765846	2	-2.1181
dc6f00c8-a22c-4e71-ab0c-b05fc6ee2d1c	4	42769229	49618868	3752	0.012
