Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	1	3218610	247813706	128962	0.0032
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	2	484222	242476062	131105	-9e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	3	2212571	197538677	106242	0.0025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	4	1053934	60278804	32871	0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	4	60304331	60348627	29	-0.9856
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	4	60353176	188763651	69689	-2e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	5	914233	88383004	47201	-0.0025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	5	88385650	88393385	8	-1.0715
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	5	88397836	171192037	48368	-0.0022
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	5	171194238	171194890	3	-1.2408
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	5	171195127	180360469	4798	-0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	6	1014281	91703090	50324	0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	6	91703486	91703617	2	-1.4002
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	6	91704358	170903919	46025	-0.0048
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	705284	130347014	66205	-0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	130347211	130348044	2	-1.4305
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	130349633	147470028	9452	-5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	147471122	147471710	2	-1.1599
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	147475118	147599688	91	-0.0164
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	147607524	147608448	3	-1.2102
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	7	147609377	158385118	5449	0.0017
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	617667	18924056	9849	-0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	18924909	18933544	11	-0.5609
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	18934697	50178328	16086	9e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	50180558	50187500	4	-1.651
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	50188391	61251905	6501	0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	61251998	61252500	3	-1.0355
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	61254679	120017703	33182	-0.0013
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	120021037	120021049	2	-1.5563
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	8	120021164	145232496	15787	-1e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	9	789932	140938752	67930	0.003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688	10	415240	135225087	80743	0.0015
