Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	61735	16149915	8415	0.0236
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	16153497	16171036	16	0.6111
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	16176764	16896821	300	-0.0181
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	16903726	17048479	74	0.6724
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	17056457	17262247	86	-0.2701
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	17276241	35087725	10257	0.013
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	35087805	35117925	31	0.3767
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	35118031	49914123	8391	0.0142
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	49914932	49997863	27	-0.9462
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	49999266	72768916	15438	0.0163
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	72768936	72773413	6	1.2275
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	72773429	72779080	3	3.8277
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	72779091	72811133	35	1.0002
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	72811148	73084967	162	-0.0267
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	73085346	73086201	3	-1.401
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	73088158	81590255	5394	0.0011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	81591415	81636886	34	-0.4174
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	81639173	83829022	1513	0.0036
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	83829357	83829841	3	-1.8566
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	83829980	104103230	12952	-0.0027
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	104109238	104159384	27	0.5122
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	104163499	104239689	15	-0.5775
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	104239986	106019310	933	-0.0076
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	106019370	106054333	48	-0.2965
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	106058446	110227515	2634	-0.0064
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E11_741980	1	110232974	110242953	18	-1.4323
