Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	51598	14926371	7643	-0.0289
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	14928569	14928683	2	-1.3681
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	14928879	16022502	779	-0.0213
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	16026084	16026512	6	-2.5833
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	16026788	17063449	410	-0.0407
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	17067742	17158797	67	-0.4283
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	17158906	34428971	9932	-0.0198
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	34429399	34429890	2	-2.8761
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	34434239	72522941	24140	-0.016
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	72528701	72535958	9	-0.6469
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	72541006	72583736	46	3.0181
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	72584492	75823432	1932	0.0302
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	75827351	75827442	2	-3.3013
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	75832097	103904753	18148	0.0109
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	103910761	104109634	61	0.3993
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	104109685	110025907	3586	0.0205
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	110025950	110047649	34	0.2833
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	110047653	115775611	4051	9e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	115786550	115787627	2	-1.5014
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	115791586	147137561	4299	0.0121
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	147159969	147509696	128	0.2188
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	147509865	147515336	14	0.7272
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	147515351	147526040	7	0.2774
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	147540169	150821800	1526	-0.0093
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	150822151	150853218	36	1.1704
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	150857118	151028670	176	-0.0399
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	151028881	151035324	32	0.3643
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	151040529	167483561	11347	-0.0045
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	167500598	167508390	7	1.0265
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	167509025	168389249	659	0.0018
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	168393242	168393365	3	-0.8746
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	168395037	173063179	2865	0.0031
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	173063322	173068360	14	-0.5525
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	173068463	187350656	9546	-0.0013
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	187350988	187353610	11	0.5159
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	187353623	194994473	5115	0.0231
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	194997658	195015652	24	-0.5122
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	195015804	195068278	62	-0.1884
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	195068407	208137685	8834	0.0026
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	208148236	208150607	3	-2.4935
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	208153175	228203609	13312	-0.0077
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228204141	228204435	3	-1.078
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228208866	228667520	363	-0.0205
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228670056	228672801	4	-0.5765
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228680733	228887253	200	-0.0165
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228888107	228889526	4	-0.7766
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	228890416	241122165	9412	0.0128
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	241122166	241271012	82	0.2576
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	241271027	245701836	2926	0.0214
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	245702502	245702638	2	-1.1948
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	1	245702973	247191011	841	0.0919
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	2784	1298761	871	-0.004
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	1299333	1300880	2	-1.6716
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	1306643	4191739	2118	0.007
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	4192075	4201042	35	-2.3333
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	4201387	34552819	21106	0.0047
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	34554898	34590561	45	0.7135
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	34590667	51028138	11964	0.0164
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	51030258	51172954	101	0.7407
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	51173868	52014446	606	0.5159
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	52022101	52597429	377	0.046
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	52607972	52635046	40	0.5693
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	52641453	89181080	22846	0.0183
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	89183540	89200044	5	-1.3465
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	89209209	95561520	637	0.0895
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	95564959	95654014	25	0.2846
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_D11_680076	2	95660369	106247145	6183	0.0021
