GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	62920	814954	31	0.381
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	817186	3302046	708	-0.0479
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	3302359	12777697	5747	-0.2886
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	12778601	13388993	48	0.2416
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	13389302	16480729	2097	-0.2877
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	16482199	17003142	148	0.0216
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	17003654	21365404	2963	-0.2731
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	21365643	21457806	44	0.0316
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	21464228	21825701	225	-0.2716
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	21833618	21833764	2	-1.9633
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	21837671	25256850	2008	-0.2783
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	25266637	25318693	19	-2.0082
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	25319167	71204248	28058	-0.2879
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	71204598	71533124	183	-0.8378
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	71533434	72303233	483	-0.3205
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	72303253	72336821	30	-1.2323
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	72338895	72345465	15	-0.7099
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	72346221	103560608	19995	-0.3139
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	103566616	103760781	34	0.49
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	103760879	104956399	629	-0.3422
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	104957900	104963200	3	-2.2575
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	104963330	109690352	2936	-0.3196
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	109690415	109702376	13	-1.0661
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	109703504	119568996	6699	-0.2967
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	119569432	119586869	29	0.2396
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	119586881	119772900	149	-0.3077
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	119783035	119962716	121	0.0558
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	119962897	121170716	54	0.3509
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	121201569	121598439	81	0.0484
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	121601998	146044884	307	0.4595
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	146062439	149904595	738	0.6585
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	149906351	151373784	661	0.5233
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	151374998	151375579	5	1.5198
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	151375984	152582700	732	0.5571
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	152583051	152613762	32	0.1878
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	152613802	152789447	172	0.5608
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	152789463	152796224	36	-0.4214
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	152801429	153246934	365	0.6123
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	153248240	157500884	2120	0.5051
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	157501265	157508748	8	0.8255
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	157512664	157513157	2	-1.0582
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	157513483	158896783	1119	0.5624
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	158898711	158899969	2	3.0228
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	158905028	187746063	19879	0.5656
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	187746723	187752238	3	-0.8108
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	187755479	195252090	4996	0.5749
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	195255940	195406100	91	0.3565
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	195407267	196745743	884	0.5794
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	196758720	196790158	39	-0.8708
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	196792690	196873141	42	0.0416
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	196874041	196884389	18	-1.2672
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	196888068	199138574	1337	0.5813
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	199142235	199144712	9	-1.5057
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	199145110	200168521	706	0.563
cc354d0a-1ffe-42ac-9ea3-3e4d07a89e26	1	200168650	206488125	4050	0.5179
