Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	3218610	111579096	62100	9e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	111579506	111583628	2	-2.1595
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	111585148	167526473	16315	-0.0021
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	167526508	167526675	2	1.7991
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	167526823	206322086	23813	-1e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	206329009	206329939	2	-1.9892
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	1	206496641	247813706	26794	-0.001
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	484222	5588041	2637	0.004
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	5588619	5588753	2	-2.2817
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	5594923	35580585	18398	0.0027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	35622123	35622988	10	0.7416
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	35698949	40027569	2206	0.0033
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	40027900	40028360	4	-1.563
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	40028857	42079058	1241	0.0128
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	42081856	42112809	40	-1.2645
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	42115621	205386612	84131	0.0033
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	205387155	205387220	2	-1.5457
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	205393423	232140361	16488	0.0027
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	232145852	232146346	3	-1.2003
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	232154461	233124685	393	-0.0036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	233124875	233137318	4	-1.3935
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	2	233141265	242476062	5635	0.0051
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	3	2212571	197538677	106284	0.0028
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	1053934	33042846	19817	0.0053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	33046633	33050593	4	-1.4722
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	33052447	109490564	40144	0.0021
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	109492432	109520265	3	-2.2668
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	109530325	157243196	26188	0.0047
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	157246262	157246880	2	1.8477
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H06_697698	4	157247099	188763651	16525	0.0016
