GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	62920	15163548	7912	-0.0311
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	15163694	15167414	3	-1.268
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	15169338	15820897	411	-0.0507
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	15822042	15827706	13	0.4734
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	15827744	16544783	302	-0.044
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16569132	16643816	26	-0.5107
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16643864	16689764	9	0.028
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16718963	16767520	9	-0.5138
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16767532	16787932	9	0.0607
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16788139	16935302	54	-0.5728
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	16935393	25256352	5257	-0.0331
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	25256800	25320455	26	0.5711
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	25336819	61648334	21431	-0.0345
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	61649279	61652515	2	-3.9361
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	61654137	72303233	7290	-0.0421
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	72303253	72345450	44	-1.0585
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	72345465	105470132	20945	-0.0357
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	105470754	105479753	18	0.5554
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	105481433	109684893	2637	-0.0461
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	109690352	109697556	13	-1.0996
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	109702376	112147704	1949	-0.0257
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	112153343	112154768	25	0.3817
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	112163334	152787202	7804	-0.0301
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	152789447	152796224	37	0.5119
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	152801429	158989785	3679	-0.0344
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	158992249	158993006	2	-3.4019
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	158997074	165067758	4279	-0.0336
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	165076228	165076317	3	-1.5572
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	165077278	174827267	6839	-0.0341
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	174827418	174832702	16	-2.1314
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	174832716	209897717	23467	-0.0343
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	209908268	209910639	3	-2.2975
469282b2-4cf8-4236-98f3-7b1a579fa07f	1	209913207	248930189	27004	-0.035
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	12784	34466002	24077	0.0382
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	34474248	34511990	46	-1.9606
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	34512096	52527330	12982	0.0401
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	52527342	52554404	39	-2.3457
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	52560811	56781746	3093	0.0401
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	56781967	56785162	3	-1.4768
469282b2-4cf8-4236-98f3-7b1a579fa07f	2	56786046	87286164	18945	0.0335
