Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	1	3208470	225841528	116109	0.0105
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	1	225843772	225845134	3	-3.8124
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	1	225851685	245880329	12818	0.0062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	2	474222	52450481	30782	0.006
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	2	52452864	52453472	2	-2.7594
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	2	52513140	242124735	100362	0.0169
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	3	526235	7883883	3081	-0.3473
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	3	7884055	7885177	2	-3.4879
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	3	7885628	199023074	103004	-0.3348
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	4	1043934	189836143	102679	0.005
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	967233	24040294	13966	0.274
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	24049324	24133447	55	-0.0799
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	24134465	76002988	26379	0.2839
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	76003385	76003855	2	-1.5136
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	76004404	82168926	3581	0.2917
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	82169328	82170735	3	-1.285
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	5	82173622	180293075	56492	0.2839
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	6	959281	38761743	22435	0.0131
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	6	38766117	38766194	2	-1.7851
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	6	38766861	133906252	51882	0.007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	6	133907104	133907501	2	-1.8356
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	6	133908560	170745844	22058	0.0066
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	7	671810	158077879	81245	0.0092
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	8	607667	134152595	75199	0.0026
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	8	134153021	134158971	6	-1.649
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	8	134159829	145304484	6229	0.0025
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	9	779932	2471455	1069	0.0119
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	9	2471651	2471683	2	-1.6179
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	9	2473527	140058573	66877	0.0072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	10	405240	123157927	73485	-0.0056
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	10	123160914	123161962	3	-1.8199
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	10	123162606	135075077	7298	-0.0025
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	11	446120	133647740	77157	0.006
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	12	760163	21223254	11668	0.0046
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	12	21223690	21224307	3	-2.8115
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	12	21224481	131671419	62210	0.0077
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	13	18348806	114005560	56602	0.0028
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	14	19571208	105059083	49407	0.0057
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	15	21238778	91428643	39734	0.0094
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	15	91430144	91430548	2	-2.3052
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B10_697556	15	91434958	99701830	4727	0.0124
